Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.illuminator,Language,Author,AltTitle.other,Description.note,Date.creation,Summary,Date.normalized,Description.adminnote,Description.contents,Condition note,Illustrations note,Description.colophon,Description.history,Binding note,Format.extent,Alt ID.local,Format.dimensions,Relation.isPartOf,AltTitle.uniform,Place of origin
Manuscript No.85: 0001,Armenian Manuscripts,ark:/21198/zz0026wq4f,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0001.tif,1,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0002,Armenian Manuscripts,ark:/21198/zz0026wq5z,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0002.tif,2,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0003,Armenian Manuscripts,ark:/21198/zz0026wq6g,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0003.tif,3,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0004,Armenian Manuscripts,ark:/21198/zz0026wq70,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0004.tif,4,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0005,Armenian Manuscripts,ark:/21198/zz0026wq8h,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0005.tif,5,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0006,Armenian Manuscripts,ark:/21198/zz0026wq91,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0006.tif,6,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0007,Armenian Manuscripts,ark:/21198/zz0026wqbj,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0007.tif,7,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0008,Armenian Manuscripts,ark:/21198/zz0026wqc2,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0008.tif,8,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0009,Armenian Manuscripts,ark:/21198/zz0026wqdk,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0009.tif,9,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0010,Armenian Manuscripts,ark:/21198/zz0026wqf3,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0010.tif,10,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0011,Armenian Manuscripts,ark:/21198/zz0026wqgm,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0011.tif,11,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0012,Armenian Manuscripts,ark:/21198/zz0026wqh4,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0012.tif,12,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0013,Armenian Manuscripts,ark:/21198/zz0026wqjn,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0013.tif,13,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0014,Armenian Manuscripts,ark:/21198/zz0026wqk5,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0014.tif,14,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0015,Armenian Manuscripts,ark:/21198/zz0026wqmp,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0015.tif,15,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0016,Armenian Manuscripts,ark:/21198/zz0026wqn6,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0016.tif,16,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0017,Armenian Manuscripts,ark:/21198/zz0026wqpq,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0017.tif,17,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0018,Armenian Manuscripts,ark:/21198/zz0026wqq7,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0018.tif,18,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0019,Armenian Manuscripts,ark:/21198/zz0026wqrr,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0019.tif,19,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0020,Armenian Manuscripts,ark:/21198/zz0026wqs8,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0020.tif,20,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0021,Armenian Manuscripts,ark:/21198/zz0026wqts,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0021.tif,21,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0022,Armenian Manuscripts,ark:/21198/zz0026wqv9,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0022.tif,22,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0023,Armenian Manuscripts,ark:/21198/zz0026wqwt,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0023.tif,23,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0024,Armenian Manuscripts,ark:/21198/zz0026wqxb,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0024.tif,24,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0025,Armenian Manuscripts,ark:/21198/zz0026wqzv,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0025.tif,25,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0026,Armenian Manuscripts,ark:/21198/zz0026wr0v,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0026.tif,26,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0027,Armenian Manuscripts,ark:/21198/zz0026wr1c,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0027.tif,27,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0028,Armenian Manuscripts,ark:/21198/zz0026wr2w,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0028.tif,28,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.85: 0029,Armenian Manuscripts,ark:/21198/zz0026wr3d,ark:/21198/zz0026w2rk,Page,,armenian/masters/ms_85/ms_85_0029.tif,29,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
