Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.illuminator,Language,Author,AltTitle.other,Description.note,Date.creation,Summary,Date.normalized,Description.adminnote,Description.contents,Condition note,Illustrations note,Description.colophon,Description.history,Binding note,Format.extent,Alt ID.local,Format.dimensions,Relation.isPartOf,AltTitle.uniform,Place of origin
Manuscript No.33: folio 1r,Armenian Manuscripts,ark:/21198/zz00278dv9,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_001.tif,1,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 1v,Armenian Manuscripts,ark:/21198/zz00278dwt,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_002.tif,2,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 2r,Armenian Manuscripts,ark:/21198/zz00278dxb,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_003.tif,3,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 2v,Armenian Manuscripts,ark:/21198/zz00278dzv,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_004.tif,4,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 3r,Armenian Manuscripts,ark:/21198/zz00278f0v,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_005.tif,5,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 3v,Armenian Manuscripts,ark:/21198/zz00278f1c,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_006.tif,6,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 4r,Armenian Manuscripts,ark:/21198/zz00278f2w,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_007.tif,7,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 4v,Armenian Manuscripts,ark:/21198/zz00278f3d,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_008.tif,8,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 5r,Armenian Manuscripts,ark:/21198/zz00278f4x,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_009.tif,9,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 5v,Armenian Manuscripts,ark:/21198/zz00278f5f,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_010.tif,10,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 6r,Armenian Manuscripts,ark:/21198/zz00278f6z,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_011.tif,11,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 6v,Armenian Manuscripts,ark:/21198/zz00278f7g,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_012.tif,12,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 7r,Armenian Manuscripts,ark:/21198/zz00278f80,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_013.tif,13,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 7v,Armenian Manuscripts,ark:/21198/zz00278f9h,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_014.tif,14,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 8r,Armenian Manuscripts,ark:/21198/zz00278fb1,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_015.tif,15,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 8v,Armenian Manuscripts,ark:/21198/zz00278fcj,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_016.tif,16,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 9r,Armenian Manuscripts,ark:/21198/zz00278fd2,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_017.tif,17,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 9v,Armenian Manuscripts,ark:/21198/zz00278ffk,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_018.tif,18,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 10r,Armenian Manuscripts,ark:/21198/zz00278fg3,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_019.tif,19,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 10v,Armenian Manuscripts,ark:/21198/zz00278fhm,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_020.tif,20,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 11r,Armenian Manuscripts,ark:/21198/zz00278fj4,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_021.tif,21,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 11v,Armenian Manuscripts,ark:/21198/zz00278fkn,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_022.tif,22,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 12r,Armenian Manuscripts,ark:/21198/zz00278fm5,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_023.tif,23,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 12v,Armenian Manuscripts,ark:/21198/zz00278fnp,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_024.tif,24,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 13r,Armenian Manuscripts,ark:/21198/zz00278fp6,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_025.tif,25,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 13v,Armenian Manuscripts,ark:/21198/zz00278fqq,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_026.tif,26,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.33: folio 14r,Armenian Manuscripts,ark:/21198/zz00278fr7,ark:/21198/zz0026hvq7,Page,,armenian/masters/ms_33/ms_33_027.tif,27,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
