"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Name.illuminator","Language","Author","AltTitle.other","Description.note","Date.creation","Summary","Date.normalized","Description.adminnote","Description.contents","Condition note","Illustrations note","Description.colophon","Description.history","Binding note","Format.extent","Alt ID.local","Format.dimensions","Relation.isPartOf","AltTitle.uniform","Place of origin","Bucketeer State","IIIF Access URL"
"Manuscript No. 6: f. 1r","Armenian Manuscripts","ark:/21198/zz0025ns6w","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025ns6w_1708011_master.tif","1","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ns6w"
"Manuscript No. 6: f. 1v","Armenian Manuscripts","ark:/21198/zz0025ns7d","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025ns7d_1708014_master.tif","2","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ns7d"
"Manuscript No. 6: f. 2r","Armenian Manuscripts","ark:/21198/zz0025ns8x","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025ns8x_1708017_master.tif","3","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ns8x"
"Manuscript No. 6: f. 2v","Armenian Manuscripts","ark:/21198/zz0025ns9f","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025ns9f_1708020_master.tif","4","text","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025ns9f"
"Manuscript No. 6: f. 3r","Armenian Manuscripts","ark:/21198/zz0025nsbz","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsbz_1708023_master.tif","5","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsbz"
"Manuscript No. 6: f. 3v","Armenian Manuscripts","ark:/21198/zz0025nscg","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nscg_1708418_master.tif","6","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nscg"
"Manuscript No. 6: f. 4r","Armenian Manuscripts","ark:/21198/zz0025nsd0","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsd0_1708423_master.tif","7","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsd0"
"Manuscript No. 6: f. 4v","Armenian Manuscripts","ark:/21198/zz0025nsfh","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsfh_1708426_master.tif","8","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsfh"
"Manuscript No. 6: f. 5r","Armenian Manuscripts","ark:/21198/zz0025nsg1","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsg1_1708429_master.tif","9","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsg1"
"Manuscript No. 6: f. 5v","Armenian Manuscripts","ark:/21198/zz0025nshj","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nshj_1708432_master.tif","10","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nshj"
"Manuscript No. 6: f. 6r","Armenian Manuscripts","ark:/21198/zz0025nsj2","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsj2_1708435_master.tif","11","text","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsj2"
"Manuscript No. 6: f. 6v","Armenian Manuscripts","ark:/21198/zz0025nskk","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nskk_1708438_master.tif","12","text","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nskk"
"Manuscript No. 6: f. 7r","Armenian Manuscripts","ark:/21198/zz0025nsm3","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsm3_1708441_master.tif","13","text","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsm3"
"Manuscript No. 6: f. 7v","Armenian Manuscripts","ark:/21198/zz0025nsnm","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsnm_1708444_master.tif","14","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsnm"
"Manuscript No. 6: f. 8r","Armenian Manuscripts","ark:/21198/zz0025nsp4","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsp4_1708447_master.tif","15","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsp4"
"Manuscript No. 6: f. 8v","Armenian Manuscripts","ark:/21198/zz0025nsqn","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsqn_1708450_master.tif","16","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsqn"
"Manuscript No. 6: f. 9r","Armenian Manuscripts","ark:/21198/zz0025nsr5","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsr5_1708453_master.tif","17","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsr5"
"Manuscript No. 6: f. 9v","Armenian Manuscripts","ark:/21198/zz0025nssp","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nssp_1708456_master.tif","18","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nssp"
"Manuscript No. 6: f. 10r","Armenian Manuscripts","ark:/21198/zz0025nst6","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nst6_1708459_master.tif","19","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nst6"
"Manuscript No. 6: f. 10v","Armenian Manuscripts","ark:/21198/zz0025nsvq","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsvq_1708462_master.tif","20","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsvq"
"Manuscript No. 6: f. 11r","Armenian Manuscripts","ark:/21198/zz0025nsw7","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsw7_1708465_master.tif","21","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsw7"
"Manuscript No. 6: f. 11v","Armenian Manuscripts","ark:/21198/zz0025nsxr","ark:/21198/zz0025nrv7","Page","","armenian/masters/21198-zz0025nsxr_1708468_master.tif","22","text","","","","","","arm","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nsxr"
