Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.illuminator,Language,Author,AltTitle.other,Description.note,Date.creation,Summary,Date.normalized,Description.adminnote,Description.contents,Condition note,Illustrations note,Description.colophon,Description.history,Binding note,Format.extent,Alt ID.local,Format.dimensions,Relation.isPartOf,AltTitle.uniform,Place of origin
Manuscript No.49: 001,Armenian Manuscripts,ark:/21198/zz00270qv2,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_001.tif,1,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 002,Armenian Manuscripts,ark:/21198/zz00270qwk,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_002.tif,2,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 003,Armenian Manuscripts,ark:/21198/zz00270qx3,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_003.tif,3,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 004,Armenian Manuscripts,ark:/21198/zz00270qzm,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_004.tif,4,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 005,Armenian Manuscripts,ark:/21198/zz00270r0m,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_005.tif,5,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 006,Armenian Manuscripts,ark:/21198/zz00270r14,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_006.tif,6,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 007,Armenian Manuscripts,ark:/21198/zz00270r2n,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_007.tif,7,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 008,Armenian Manuscripts,ark:/21198/zz00270r35,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_008.tif,8,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 009,Armenian Manuscripts,ark:/21198/zz00270r4p,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_009.tif,9,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 010,Armenian Manuscripts,ark:/21198/zz00270r56,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_010.tif,10,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 011,Armenian Manuscripts,ark:/21198/zz00270r6q,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_011.tif,11,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 012,Armenian Manuscripts,ark:/21198/zz00270r77,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_012.tif,12,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 013,Armenian Manuscripts,ark:/21198/zz00270r8r,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_013.tif,13,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 014,Armenian Manuscripts,ark:/21198/zz00270r98,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_014.tif,14,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 015,Armenian Manuscripts,ark:/21198/zz00270rbs,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_015.tif,15,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 016,Armenian Manuscripts,ark:/21198/zz00270rc9,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_016.tif,16,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 017,Armenian Manuscripts,ark:/21198/zz00270rdt,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_017.tif,17,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 018,Armenian Manuscripts,ark:/21198/zz00270rfb,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_018.tif,18,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 019,Armenian Manuscripts,ark:/21198/zz00270rgv,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_019.tif,19,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 020,Armenian Manuscripts,ark:/21198/zz00270rhc,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_020.tif,20,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 021,Armenian Manuscripts,ark:/21198/zz00270rjw,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_021.tif,21,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 022,Armenian Manuscripts,ark:/21198/zz00270rkd,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_022.tif,22,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 023,Armenian Manuscripts,ark:/21198/zz00270rmx,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_023.tif,23,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 024,Armenian Manuscripts,ark:/21198/zz00270rnf,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_024.tif,24,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 025,Armenian Manuscripts,ark:/21198/zz00270rpz,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_025.tif,25,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 026,Armenian Manuscripts,ark:/21198/zz00270rqg,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_026.tif,26,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 027,Armenian Manuscripts,ark:/21198/zz00270rr0,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_027.tif,27,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 028,Armenian Manuscripts,ark:/21198/zz00270rsh,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_028.tif,28,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 029,Armenian Manuscripts,ark:/21198/zz00270rt1,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_029.tif,29,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 030,Armenian Manuscripts,ark:/21198/zz00270rvj,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_030.tif,30,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 031,Armenian Manuscripts,ark:/21198/zz00270rw2,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_031.tif,31,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 032,Armenian Manuscripts,ark:/21198/zz00270rxk,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_032.tif,32,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 033,Armenian Manuscripts,ark:/21198/zz00270rz3,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_033.tif,33,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 034,Armenian Manuscripts,ark:/21198/zz00270s03,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_034.tif,34,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 035,Armenian Manuscripts,ark:/21198/zz00270s1m,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_035.tif,35,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 036,Armenian Manuscripts,ark:/21198/zz00270s24,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_036.tif,36,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 037,Armenian Manuscripts,ark:/21198/zz00270s3n,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_037.tif,37,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 038,Armenian Manuscripts,ark:/21198/zz00270s45,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_038.tif,38,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 039,Armenian Manuscripts,ark:/21198/zz00270s5p,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_039.tif,39,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 040,Armenian Manuscripts,ark:/21198/zz00270s66,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_040.tif,40,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 041,Armenian Manuscripts,ark:/21198/zz00270s7q,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_041.tif,41,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
