Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Rights.servicesContact,Type.typeOfResource,Name.repository,Type.genre,Name.creator,Title,IIIF Access URL
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3z17,ark:/21198/zz000n8zrp,2,Completed,Work,,112,,,private,,,sound recording-musical,,,,441 Burke's Law sndtrk r2,
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s3z2r,ark:/21198/zz000n8zrp,2,Completed,Work,,113,,,private,,,sound recording-musical,,,,443 Burke's Law sndtrk r1,
Gilbert (Herschel Burke) Collection,ark:/21198/zz000s95rp,ark:/21198/zz000n8zrp,2,Completed,Work,,186,,,private,,,sound recording-musical,,,,1206 The Moon Is Blue,
