"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Rights.servicesContact","Type.typeOfResource","Name.repository","Type.genre","Name.creator","IIIF Access URL","Title","Waveform","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1gx63m4","","Completed","Work","gilbert/audio/masters/21198-zz000rvjc2-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/gx/63/m4/21198=z1gx63m4/ark%2B=21198=z1gx63m4.mp4{}","97 Bold & Brave reel 3 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1gx63m4%2Faudiowaveform.dat","","","940.909146","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gx63m4/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1c55bx5","","Completed","Work","gilbert/audio/masters/21198-zz000rvjc2-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/c5/5b/x5/21198=z1c55bx5/ark%2B=21198=z1c55bx5.mp4{}","97 Bold & Brave reel 3 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1c55bx5%2Faudiowaveform.dat","","","919.665969","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c55bx5/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z17d4m96","","Completed","Work","gilbert/audio/masters/21198-zz000rw401-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/7d/4m/96/21198=z17d4m96/ark%2B=21198=z17d4m96.mp4{}","110 WTCS Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz17d4m96%2Faudiowaveform.dat","","","1716.549417","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17d4m96/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z13n3vkg","","Completed","Work","gilbert/audio/masters/21198-zz000rw401-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/3n/3v/kg/21198=z13n3vkg/ark%2B=21198=z13n3vkg.mp4{}","110 WTCS Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz13n3vkg%2Faudiowaveform.dat","","","397.865615","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3vkg/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1001t7b","","Completed","Work","gilbert/audio/masters/21198-zz000rw401-3-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/00/1t/7b/21198=z1001t7b/ark%2B=21198=z1001t7b.mp4{}","110 WTCS Part 3","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1001t7b%2Faudiowaveform.dat","","","1768.868896","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1001t7b/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1v719qk","","Completed","Work","gilbert/audio/masters/21198-zz000rwtnh-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/v7/19/qk/21198=z1v719qk/ark%2B=21198=z1v719qk.mp4{}","118 No Place to Hide Reel 1 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1v719qk%2Faudiowaveform.dat","","","3699.143115","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v719qk/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1qg0jzd","","Completed","Work","gilbert/audio/masters/21198-zz000rwtnh-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/qg/0j/zd/21198=z1qg0jzd/ark%2B=21198=z1qg0jzd.mp4{}","118 No Place to Hide Reel 1 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1qg0jzd%2Faudiowaveform.dat","","","148.016219","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qg0jzd/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1kp9t7j","","Completed","Work","gilbert/audio/masters/21198-zz000rwtvm-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/kp/9t/7j/21198=z1kp9t7j/ark%2B=21198=z1kp9t7j.mp4{}","152 June Allison Show Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1kp9t7j%2Faudiowaveform.dat","","","920.353938","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kp9t7j/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1fx92k3","","Completed","Work","gilbert/audio/masters/21198-zz000rwtvm-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/fx/92/k3/21198=z1fx92k3/ark%2B=21198=z1fx92k3.mp4{}","152 June Allison Show Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1fx92k3%2Faudiowaveform.dat","","","913.511656","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fx92k3/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1b589w4","","Completed","Work","gilbert/audio/masters/21198-zz000rwtxn-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/b5/89/w4/21198=z1b589w4/ark%2B=21198=z1b589w4.mp4{}","167 Mutel 14098-14117 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1b589w4%2Faudiowaveform.dat","","","933.309229","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b589w4/manifest"
