Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Rights.servicesContact,Type.typeOfResource,Name.repository,Type.genre,Name.creator,Title,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdgp,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdgp-1-master.wav,15,,,,,,sound recording-musical,,,,19 Crime and Punishment Reel 3,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vd/gp/21198=zz000rvdgp/ark%2B=21198=zz000rvdgp.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdgp%2Faudiowaveform.dat,,,1909.225438,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdgp/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdh6,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdh6-1-master.wav,16,,,,,,sound recording-musical,,,,20 Crime and Punishment Reel 4,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vd/h6/21198=zz000rvdh6/ark%2B=21198=zz000rvdh6.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdh6%2Faudiowaveform.dat,,,1664.600896,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdh6/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdk7,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdk7-1-master.wav,18,,,,,,sound recording-musical,,,,22 Crime and Punishment Album,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vd/k7/21198=zz000rvdk7/ark%2B=21198=zz000rvdk7.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdk7%2Faudiowaveform.dat,,,1892.604469,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdk7/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvdmr,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvdmr-1-master.wav,19,,,,,,sound recording-musical,,,,28 Has Anybody Seen Chris,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vd/mr/21198=zz000rvdmr/ark%2B=21198=zz000rvdmr.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdmr%2Faudiowaveform.dat,,,104.134896,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvdmr/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfb3,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfb3-1-master.wav,20,,,,,,sound recording-musical,,,,29 Has Anybody Seen Chris,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vf/b3/21198=zz000rvfb3/ark%2B=21198=zz000rvfb3.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfb3%2Faudiowaveform.dat,,,2240.161896,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfb3/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfcm,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfcm-1-master.wav,21,,,,,,sound recording-musical,,,,30 Has Anybody Seen Chris,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vf/cm/21198=zz000rvfcm/ark%2B=21198=zz000rvfcm.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfcm%2Faudiowaveform.dat,,,2056.342958,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfcm/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfd4,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfd4-1-master.wav,22,,,,,,sound recording-musical,,,,36 Has Anybody Seen Chris,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vf/d4/21198=zz000rvfd4/ark%2B=21198=zz000rvfd4.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfd4%2Faudiowaveform.dat,,,1787.211708,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfd4/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvffn,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvffn-1-master.wav,23,,,,,,sound recording-musical,,,,37 Has Anybody Seen Chris,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vf/fn/21198=zz000rvffn/ark%2B=21198=zz000rvffn.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvffn%2Faudiowaveform.dat,,,1829.874719,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvffn/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvfg5,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvfg5-1-master.wav,24,,,,,,sound recording-musical,,,,38 Has Anybody Seen Chris,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vf/g5/21198=zz000rvfg5/ark%2B=21198=zz000rvfg5.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfg5%2Faudiowaveform.dat,,,1920.251844,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvfg5/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj2d,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj2d-1-master.wav,25,,,,,,sound recording-musical,,,,39 Has Anybody Seen Chris,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/2d/21198=zz000rvj2d/ark%2B=21198=zz000rvj2d.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj2d%2Faudiowaveform.dat,,,1830.634115,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj2d/manifest
