"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv4tm","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_027.tif","27","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 27","uclamss_107_b05_f10_027","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv4tm",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv4v4","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_028.tif","28","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 28","uclamss_107_b05_f10_028","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv4v4",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv4wn","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_029.tif","29","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 29","uclamss_107_b05_f10_029","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv4wn",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv4x5","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_030.tif","30","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 30","uclamss_107_b05_f10_030","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv4x5",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv4zp","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_031.tif","31","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 31","uclamss_107_b05_f10_031","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv4zp",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv50p","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_032.tif","32","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 32","uclamss_107_b05_f10_032","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv50p",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv516","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_033.tif","33","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 33","uclamss_107_b05_f10_033","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv516",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv52q","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_034.tif","34","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 34","uclamss_107_b05_f10_034","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv52q",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv537","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_035.tif","35","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 35","uclamss_107_b05_f10_035","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv537",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv54r","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_036.tif","36","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 36","uclamss_107_b05_f10_036","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv54r",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv558","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_037.tif","37","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 37","uclamss_107_b05_f10_037","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv558",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv56s","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_038.tif","38","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 38","uclamss_107_b05_f10_038","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv56s",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv579","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_039.tif","39","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 39","uclamss_107_b05_f10_039","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv579",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv58t","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_040.tif","40","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 40","uclamss_107_b05_f10_040","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv58t",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv59b","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_041.tif","41","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 41","uclamss_107_b05_f10_041","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv59b",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5bv","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_042.tif","42","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 42","uclamss_107_b05_f10_042","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5bv",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5cc","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_043.tif","43","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 43","uclamss_107_b05_f10_043","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5cc",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv5dw","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_044.tif","44","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 44","uclamss_107_b05_f10_044","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv5dw",""
