"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Type.genre","Rights.servicesContact","Language","Name.collector","Subject","Name.photographer","Relation.isPartOf","Name.subject","Author","Name.repository","Name.creator","Format.dimensions","Title","Date.creation","Format.extent","Alt ID.local","Description.note","Date.normalized","Description.contents","Description.abstract","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2109","ark:/21198/z1z90x0v","ark:/21198/zz00152jrs","2","Completed","Page","harrison/masters/21198-zz00152jrs-1-master.tif","1","","","still image","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z90x0v",""
"Harrison (Gilbert A.) Collection of Material by and Relating to Gertrude Stein.  Collection 2110","ark:/21198/z1tj058h","ark:/21198/zz00152jrs","2","Completed","Page","harrison/masters/21198-zz00152jrs-2-master.tif","2","","","still image","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj058h",""
