Item ARK,Parent ARK,Object Type,Visibility,File Name,Item Sequence,Title,Thumbnail,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Alt ID.local
ark:/21198/z1sx8fcp,ark:/21198/zz002czw6v,Work,,,,Manuscript and Inscription Letters,,,,,,"Johnston, Edward, 1872-1944|~|Gill, Eric, 1882-1940",,Offset and lithograph on paper,"For schools & classes & for the use of craftsmen by Edward Johnston with 5 plates by A.E.R. Gill (Portfolio No.2, “School copies & Examples). Second impression, revisited.",1911-1912,1911/1912,"variable, in a folder measuring 10 x 12”",CEG1583
ark:/21198/z1p57pn8,ark:/21198/zz002czw6v,Work,,,,A.L.S. from H.S. Sanders-Clark,,letters (correspondence),,,,"Sanders-Clark, H.S.",,Ink on paper,"A.L.S. from H.S. Sanders-Clark to Romney Green relative regarding a carving of the coat of arms, crest and motto of Haberdasher’s Hall to be carved on the back of Master’s chair. This item is boxed with CEG530-531.",1931 December 31,1931-12-11,5 x 8”,CEG2299
ark:/21198/z1jd6xz0,ark:/21198/zz002czw6v,Work,,,,Untitled [Bisham Cross],,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on graph paper,"Collection of 6 pencil sketches, charts and finished drawings for Bisham Cross (Bisham, Berks). Includes two versions of mounted finished drawings signed “EG 29.1.1919”. 2 undated rough sketches, 1 plan (1 ½” scale) signd “EG 1.3.19”, and 1 “Bisham Cross (as carved)” chart signed “E.G. 15.5.19” See Evan Gill Inscriptional work No. 337.",about 1919,1919,,CEG431|~|CEG432|~|CEG433|~|CEG434|~|CEG435|~|CEG436
ark:/21198/z1dn6672,ark:/21198/zz002czw6v,Work,,,,Untitled [Chirk Monument],,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil on paper,"Chirk Monument near Wrexham, in memory of those who died in World War I. Two pencil sketches of the proposed monument (a soldier “on watch”)",about 1919,1919,,CEG437|~|CEG438
ark:/21198/z18w5fhb,ark:/21198/zz002czw6v,Work,,,,Untitled [Chirk Monument plans],,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Collection of drawings, designs for inscriptions and plans for “Chirk Monument”, North Wales, Portland stone. Includes two colored drawings on oblong folio sheet, signed and dated 19191; 3 other sheets with lettering and plans, signed and dated 1919 and 1920.",1919,1919,,CEG440|~|CEG441|~|CEG442|~|CEG443
ark:/21198/z1544prg,ark:/21198/zz002czw6v,Work,,,,Untitled [Spoil Bank Crucifix],,drawings|~|architectural drawings|~|religious art,,,,"Gill, Eric, 1882-1940",,Pencil and watercolor on paper,"Spoil Bank Crucifix, Ditchling, Sussex. Collection of 12 sketches, drawings and watercolors of Wooden Monument. Some are annotated by Gill and dated June 17, 1920 to May 6, 1922. Unit of 12 items, various sizes, in folder 9x16”. Monument was erected and blessed November 1922. See also Physick # 156 & 157.",about 1920-1922,1920/1922,,CEG446|~|CEG447|~|CEG448|~|CEG449|~|CEG450|~|CEG451|~|CEG452|~|CEG453|~|CEG454|~|CEG456|~|CEG457|~|CEG458
