Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,Subject.uniformTitle,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbg8/6v95v073,ark:/21198/zz001nkbg8,,,Page,mpstills/masters/21198-zz001nkbg8-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbg8/7m274r66,ark:/21198/zz001nkbg8,,,Page,mpstills/masters/21198-zz001nkbg8_1658446_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbj9/8n07zp55,ark:/21198/zz001nkbj9,,,Page,mpstills/masters/21198-zz001nkbj9-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbj9/n3858b12,ark:/21198/zz001nkbj9,,,Page,mpstills/masters/21198-zz001nkbj9-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbkt/d0097t8d,ark:/21198/zz001nkbkt,,,Page,mpstills/masters/21198-zz001nkbkt-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbkt/w0633c39,ark:/21198/zz001nkbkt,,,Page,mpstills/masters/21198-zz001nkbkt_1658487_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbqw/ds458f3h,ark:/21198/zz001nkbqw,,,Page,mpstills/masters/21198-zz001nkbqw_1658531_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkbqw/kt96068p,ark:/21198/zz001nkbqw,,,Page,mpstills/masters/21198-zz001nkbqw_1658534_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfjr/3t44f306,ark:/21198/zz001nkfjr,,,Page,mpstills/masters/21198-zz001nkfjr_1658476_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfjr/6k02nf6c,ark:/21198/zz001nkfjr,,,Page,mpstills/masters/21198-zz001nkfjr_1658473_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfk8/cm74n80f,ark:/21198/zz001nkfk8,,,Page,mpstills/masters/21198-zz001nkfk8_1658461_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfk8/wv63hp2t,ark:/21198/zz001nkfk8,,,Page,mpstills/masters/21198-zz001nkfk8_1658467_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfms/4d71cg00,ark:/21198/zz001nkfms,,,Page,mpstills/masters/21198-zz001nkfms-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfms/js42np8b,ark:/21198/zz001nkfms,,,Page,mpstills/masters/21198-zz001nkfms-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfqb/0m64fg7w,ark:/21198/zz001nkfqb,,,Page,mpstills/masters/21198-zz001nkfqb_1658455_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfqb/qm06bc92,ark:/21198/zz001nkfqb,,,Page,mpstills/masters/21198-zz001nkfqb_1658450_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nkfrv/3536p63t,ark:/21198/zz001nkfrv,,,Page,mpstills/masters/21198-zz001nkfrv_1658537_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
