Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,Subject.uniformTitle,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns09j/6n70p532,ark:/21198/zz001ns09j,,,Page,mpstills/masters/21198-zz001ns09j_1657632_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns09j/8p10p71d,ark:/21198/zz001ns09j,,,Page,mpstills/masters/21198-zz001ns09j_1657635_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0b2/0r52m887,ark:/21198/zz001ns0b2,,,Page,mpstills/masters/21198-zz001ns0b2_1657662_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0b2/d138gq2p,ark:/21198/zz001ns0b2,,,Page,mpstills/masters/21198-zz001ns0b2_1657659_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0ck/fx64dt2q,ark:/21198/zz001ns0ck,,,Page,mpstills/masters/21198-zz001ns0ck-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0ck/hc635z7x,ark:/21198/zz001ns0ck,,,Page,mpstills/masters/21198-zz001ns0ck-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0d3/5g98k496,ark:/21198/zz001ns0d3,,,Page,mpstills/masters/21198-zz001ns0d3-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0d3/kq41cf63,ark:/21198/zz001ns0d3,,,Page,mpstills/masters/21198-zz001ns0d3-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0fm/f840jr8r,ark:/21198/zz001ns0fm,,,Page,mpstills/masters/21198-zz001ns0fm-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0fm/wv42k857,ark:/21198/zz001ns0fm,,,Page,mpstills/masters/21198-zz001ns0fm-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0g4/b031z88t,ark:/21198/zz001ns0g4,,,Page,mpstills/masters/21198-zz001ns0g4-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0g4/g226v29n,ark:/21198/zz001ns0g4,,,Page,mpstills/masters/21198-zz001ns0g4-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0hn/bq557w09,ark:/21198/zz001ns0hn,,,Page,mpstills/masters/21198-zz001ns0hn-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0hn/cn77wm5s,ark:/21198/zz001ns0hn,,,Page,mpstills/masters/21198-zz001ns0hn-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0j5/d502ww5c,ark:/21198/zz001ns0j5,,,Page,mpstills/masters/21198-zz001ns0j5-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0j5/fq244r3n,ark:/21198/zz001ns0j5,,,Page,mpstills/masters/21198-zz001ns0j5-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0kp/qj81fq85,ark:/21198/zz001ns0kp,,,Page,mpstills/masters/21198-zz001ns0kp-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0kp/zz05h64c,ark:/21198/zz001ns0kp,,,Page,mpstills/masters/21198-zz001ns0kp-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0m6/mp66cv9p,ark:/21198/zz001ns0m6,,,Page,mpstills/masters/21198-zz001ns0m6_1657391_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0m6/ph38sw7s,ark:/21198/zz001ns0m6,,,Page,mpstills/masters/21198-zz001ns0m6_1657394_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0nq/p802278p,ark:/21198/zz001ns0nq,,,Page,mpstills/masters/21198-zz001ns0nq-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0nq/pm73xg2t,ark:/21198/zz001ns0nq,,,Page,mpstills/masters/21198-zz001ns0nq-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0p7/2s580w2x,ark:/21198/zz001ns0p7,,,Page,mpstills/masters/21198-zz001ns0p7-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0p7/9v838g53,ark:/21198/zz001ns0p7,,,Page,mpstills/masters/21198-zz001ns0p7-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0qr/jh32h96m,ark:/21198/zz001ns0qr,,,Page,mpstills/masters/21198-zz001ns0qr-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0qr/z739f53x,ark:/21198/zz001ns0qr,,,Page,mpstills/masters/21198-zz001ns0qr-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0r8/5w16pv95,ark:/21198/zz001ns0r8,,,Page,mpstills/masters/21198-zz001ns0r8-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0r8/t351628v,ark:/21198/zz001ns0r8,,,Page,mpstills/masters/21198-zz001ns0r8-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0ss/33232q0p,ark:/21198/zz001ns0ss,,,Page,mpstills/masters/21198-zz001ns0ss-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0ss/zs95d76q,ark:/21198/zz001ns0ss,,,Page,mpstills/masters/21198-zz001ns0ss-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0t9/1k53hw0n,ark:/21198/zz001ns0t9,,,Page,mpstills/masters/21198-zz001ns0t9_1657403_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0t9/hm10h66d,ark:/21198/zz001ns0t9,,,Page,mpstills/masters/21198-zz001ns0t9_1657406_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0vt/71751b29,ark:/21198/zz001ns0vt,,,Page,mpstills/masters/21198-zz001ns0vt-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0vt/ht71hc7z,ark:/21198/zz001ns0vt,,,Page,mpstills/masters/21198-zz001ns0vt-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0wb/2980r631,ark:/21198/zz001ns0wb,,,Page,mpstills/masters/21198-zz001ns0wb_1657644_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0wb/b828nm9x,ark:/21198/zz001ns0wb,,,Page,mpstills/masters/21198-zz001ns0wb_1657641_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0xv/r994571m,ark:/21198/zz001ns0xv,,,Page,mpstills/masters/21198-zz001ns0xv-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0xv/wm25dz53,ark:/21198/zz001ns0xv,,,Page,mpstills/masters/21198-zz001ns0xv-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0zc/4f54w098,ark:/21198/zz001ns0zc,,,Page,mpstills/masters/21198-zz001ns0zc-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns0zc/fn279w4r,ark:/21198/zz001ns0zc,,,Page,mpstills/masters/21198-zz001ns0zc-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns10c/b760pf0t,ark:/21198/zz001ns10c,,,Page,mpstills/masters/21198-zz001ns10c-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns10c/pq072x37,ark:/21198/zz001ns10c,,,Page,mpstills/masters/21198-zz001ns10c-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns11w/md44vd0p,ark:/21198/zz001ns11w,,,Page,mpstills/masters/21198-zz001ns11w-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns11w/zf623v12,ark:/21198/zz001ns11w,,,Page,mpstills/masters/21198-zz001ns11w-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns12d/p867rn2k,ark:/21198/zz001ns12d,,,Page,mpstills/masters/21198-zz001ns12d-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns12d/xs925t6v,ark:/21198/zz001ns12d,,,Page,mpstills/masters/21198-zz001ns12d-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns13x/fm664385,ark:/21198/zz001ns13x,,,Page,mpstills/masters/21198-zz001ns13x-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns13x/ms02bp04,ark:/21198/zz001ns13x,,,Page,mpstills/masters/21198-zz001ns13x-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns14f/ps50hg29,ark:/21198/zz001ns14f,,,Page,mpstills/masters/21198-zz001ns14f-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns14f/t195sj8v,ark:/21198/zz001ns14f,,,Page,mpstills/masters/21198-zz001ns14f-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns15z/bj09w33k,ark:/21198/zz001ns15z,,,Page,mpstills/masters/21198-zz001ns15z-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns15z/w5677v1m,ark:/21198/zz001ns15z,,,Page,mpstills/masters/21198-zz001ns15z-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns16g/kq46866h,ark:/21198/zz001ns16g,,,Page,mpstills/masters/21198-zz001ns16g_1657617_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns16g/rv51f76p,ark:/21198/zz001ns16g,,,Page,mpstills/masters/21198-zz001ns16g_1657614_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns170/4r83fd3s,ark:/21198/zz001ns170,,,Page,mpstills/masters/21198-zz001ns170-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns170/j3203n9r,ark:/21198/zz001ns170,,,Page,mpstills/masters/21198-zz001ns170-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns18h/nz19hb4d,ark:/21198/zz001ns18h,,,Page,mpstills/masters/21198-zz001ns18h_1657427_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns18h/vp012621,ark:/21198/zz001ns18h,,,Page,mpstills/masters/21198-zz001ns18h_1657424_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns191/g481sf77,ark:/21198/zz001ns191,,,Page,mpstills/masters/21198-zz001ns191_1657672_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns191/k725m79z,ark:/21198/zz001ns191,,,Page,mpstills/masters/21198-zz001ns191_1657668_master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns1bj/k189447b,ark:/21198/zz001ns1bj,,,Page,mpstills/masters/21198-zz001ns1bj-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ns1bj/zs31354c,ark:/21198/zz001ns1bj,,,Page,mpstills/masters/21198-zz001ns1bj-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
