Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,Subject.uniformTitle,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,AltTitle.uniform,Description.abstract
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4k5/6r06fn8h,ark:/21198/zz001nr4k5,,,Page,mpstills/masters/21198-zz001nr4k5-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4k5/xz44pm4w,ark:/21198/zz001nr4k5,,,Page,mpstills/masters/21198-zz001nr4k5-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4mp/6v85zj1n,ark:/21198/zz001nr4mp,,,Page,mpstills/masters/21198-zz001nr4mp-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4mp/m983874r,ark:/21198/zz001nr4mp,,,Page,mpstills/masters/21198-zz001nr4mp-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4n6/kc877v3v,ark:/21198/zz001nr4n6,,,Page,mpstills/masters/21198-zz001nr4n6-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4n6/zq74p069,ark:/21198/zz001nr4n6,,,Page,mpstills/masters/21198-zz001nr4n6-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4pq/ng843v78,ark:/21198/zz001nr4pq,,,Page,mpstills/masters/21198-zz001nr4pq-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4pq/rw91bc21,ark:/21198/zz001nr4pq,,,Page,mpstills/masters/21198-zz001nr4pq-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4q7/6r67zc0x,ark:/21198/zz001nr4q7,,,Page,mpstills/masters/21198-zz001nr4q7-1-master.tif,1,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4q7/7p198k3s,ark:/21198/zz001nr4q7,,,Page,mpstills/masters/21198-zz001nr4q7-2-master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nr4rr/9v18gt41,ark:/21198/zz001nr4rr,,,Page,mpstills/masters/21198-zz001nr4rr_1558347_master.tif,2,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,
