Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,IIIF Manifest URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz002853x2,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002853x2%2F3p05c140,individuals,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"Adams, Dorothy, $d 1900-1988|~|Doyle, Mimi","Sandrich, Mark, $d 1900-1945",,Paramount Pictures Corporation,,,Paramount Pictures Corporation,,So Proudly We Hail  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1610_26_3,1 photograph : b&w,8 x 10 in.,"Dorothy Adams, an unidentified actress, and Mimi Doyle in So Proudly We Hail",1942-11-27/1943-03-29,THIS PROOF IS UNRETOUCHED,between November 27 1942 and March 29 1943,Text from back of photograph:Jan 27 1943,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002853x2/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz002853zk,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002853zk%2Fvk700c5x,individuals,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,"Colbert, Claudette|~|Adams, Dorothy, $d 1900-1988|~|Morris, Frances, $d 1908-2003|~|Doran, Ann","Sandrich, Mark, $d 1900-1945",,"De Sylva, B. G. $q (Buddy Gard), $d 1896-1950",,,Paramount Pictures Corporation,,So Proudly We Hail  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1610_26_4,1 photograph : b&w,8 x 10 in.,Claudette Colbert and cast in So Proudly We Hail,1942-11/1943-03,Text from back of photograph:Jan. 21 1943,"[between November, 1942 and March, 1943]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002853zk/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz0028540k,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028540k%2F7b68fx2b,individuals,private,still image,Black-and-white photographs|~|Drama films,copyrighted,unknown,,,"Sandrich, Mark, $d 1900-1945",,Paramount Pictures Corporation,,,Paramount Pictures Corporation,,So Proudly We Hail  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1610_26_5,1 photograph : b&w,8 x 10 in.,Military hospital ward in Mark Sandrich's So Proudly We Hail,1942-11-27/1943-03-29,,between November 27 1942 and March 29 1943,THIS PROOF IS UNRETOUCHED|~|Text from back of photograph:Feb 8 1943,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028540k/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz0028544n,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028544n%2F2s34329s,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,So Proudly We Hail  (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1610_26_9,1 photograph : b&w,8 x 10 in.,SO PROUDLY WE HAIL,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028544n/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz00285455,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00285455%2F6k02n29n,individuals,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Grey, Virginia, $d 1917-2004|~|Morgan, Henry, $d 1915-1994","Fleischer, Richard",,"Screen Plays, Inc.|~|Enterprise Productions, Inc.",,,United Artists Corporation,,So This Is New York  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1194_21_1,1 photograph : b&w,8 x 10 in.,Virginia Grey and Henry Morgan in So This Is New York,1947-09/1947-11,"Text from back of photograph:""So This Is New York""SP-24HIGH FINANCE -- Virginia Grey tells Henry Morgan that she and Dona Drake have invested their fortune in the play which Bill Goodwin is to put on, in the Stanley Kramer production, ""So This Is New York,"" which Screen Plays, Inc. is making for Enterprise. The cast, directed by Dick Fleischer, also includes Rudy Vallee, Hugh Herbert, Jerome Cowan, Arnold Stang and Leo Gorcey.",between September and November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00285455/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz0028546p,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028546p%2Fqx12hx0d,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Cowan, Jerome, $d 1897-1972|~|Grey, Virginia, $d 1917-2004|~|Drake, Dona, $d 1914-1989|~|Morgan, Henry, $d 1915-1994","Fleischer, Richard",,"Screen Plays, Inc.|~|Enterprise Productions, Inc.",,,United Artists Corporation,,So This Is New York  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1194_21_2,1 photograph : b&w,8 x 10 in.,"Henry Morgan, Virginia Grey, Dona Drake, and Jerome Cowan in So This Is New York",1947-09/1947-11,"SP-55FAIR WARNING -- Henry Morgan tries to break up the growing interest which his wife, Virginia Grey, and her sister, Dona Drake, show in Jerome Cowan, in the Stanley Kramer production, ""So This Is New York,"" which Screen Plays, Inc. is making for Enterprise. The Ring Lardner story is directed by Dick Fleischer.",between September and November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028546p/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz00285476,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00285476%2Fqf62xz60,individuals,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Bakewell, William, $d 1908-1993|~|Vallée, Rudy, $d 1901-1986|~|Grey, Virginia, $d 1917-2004|~|Drake, Dona, $d 1914-1989|~|Morgan, Henry, $d 1915-1994","Fleischer, Richard",,"Screen Plays, Inc.|~|Enterprise Productions, Inc.",,,United Artists Corporation,,So This Is New York  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1194_21_3,1 photograph : b&w,8 x 10 in.,"Henry Morgan, Virginia Grey, Dona Drake, William Bakewell, and Rudy Vallee in So This Is New York",1947-09/1947-11,"Text from back of photograph:SP-96CHANCE MEETING -- Henry Morgan, Virginia Gray and Dona Drake - and even the hotel clerk Billy Bakewell - are highly pleased at a chance meeting with Rudy Vallee in the campaign to find a husband for Dona, in the Stanley Kramer production, ""So This Is New York,"" which Screen Plays, Inc. is making for Enterprise. Dick Fleischer directs this Ring Lardner story.|~|Text from back of photograph:Henry Morgan - Virginia Grey - Dona Drake - William Bakewell - Rudy Vallee in ""SO THIS IS NEW YORK"" UA 1948",between September and November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00285476/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz00285497,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00285497%2Fbs88kw6v,individuals,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Vallée, Rudy, $d 1901-1986|~|Grey, Virginia, $d 1917-2004|~|Drake, Dona, $d 1914-1989|~|Morgan, Henry, $d 1915-1994","Fleischer, Richard",,"Screen Plays, Inc.|~|Enterprise Productions, Inc.",,,United Artists Corporation,,So This Is New York  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1194_21_5,1 photograph : b&w,8 x 10 in.,"Virginia Grey, Henry Morgan, Dona Drake, and Rudy Vallee in So This Is New York",1947-09/1947-11,"Text from back of photograph:Fun at the Races, for all except Morgan - Virginia Grey, Dona Grey [Drake] & Rudy Vallee have picked a winner - race sequence from Henry Morgan's starring film ""So This Is New York"" at 4 Music hall Theatre, Thursday Sept 16 1948|~|Text from back of photograph:Virginia Grey - Henry Morgan - Dona Drake - Rudy Vallee in ""SO THIS IS NEW YORK"" UA 1948|~|THE ENTERPRISE STUDIOS presentHENRY MORGAN in ""SO THIS IS NEW YORK""with RUDY VALLEE - HUGH HERBERT - BILL GOODWINBased on the novel ""THE BIG TOWN"" by Ring LardnerProduced by STANLEY KRAMER - Directed by RICHARD O. FLEISCHERExploitationReleased thru United Artists",between September and November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00285497/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz002854br,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002854br%2Fvh02dn2p,individuals,private,still image,Black-and-white photographs|~|Comedy films,copyrighted,unknown,,"Morgan, Henry, $d 1915-1994|~|Orth, Frank, $d 1880-1962","Fleischer, Richard",,"Screen Plays, Inc.|~|Enterprise Productions, Inc.",,,United Artists Corporation,,So This Is New York  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_1194_21_6,1 photograph : b&w,8 x 10 in.,Henry Morgan and Frank Orth in So This Is New York,1947-09/1947-11,"Text from back of photograph:Henry Morgan - Frank Orth in ""SO THIS IS NEW YORK"" UA 1948|~|Text from back of photograph:SP-107BUSINESS LECTURE -- Returning from the army, Henry Morgan has to listen to his old boss, Frank Orth, lecture about the decline of the cigar business, in the Stanley Kramer production, ""So This Is New York,"" which Screen Plays, Inc. is making for Enterprise. Dick Fleischer directs with a cast which includes Rudy Vallee, Hugh Herbert, Bill Goodwin, Virginia Grey, Dona Drake, Jerome Cowan, Leo Garcey, Dave Willock and Arnold Stang.",between September and November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002854br/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz002854c8,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002854c8%2F7116x03v,individuals,private,still image,Black-and-white photographs|~|Romance films,copyrighted,unknown,,"Scott, Martha, $d 1914-2003|~|Mills, John|~|D'Albie, Julian, $d 1892-1978|~|Tate, Reginald, $d 1896-1955","Dmytryk, Edward",,Alliance Films Corp.,,,RKO Radio Pictures,,So Well Remembered  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_900_16_1,1 photograph : b&w,8 x 10 in.,"Martha Scott, John Mills, Julian D'Albie, and Reginald Tate in So Well Remembered",1946-07-15/1946-10-26,"Text from back of photograph:SWR - Filmed in England RKO Radio's So Well Remembered. Film stars John Mills, Martha Scott and Richard Carlson. Produced by Adrian Scott and Directed by Edward Dmytryk.",between July 15 and October 26 1946,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002854c8/manifest
