Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,IIIF Manifest URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj23,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj23%2Fq700wf24,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Neal, Patricia, $d 1926-2010|~|Todd, Richard, $d 1919-2009","Sherman, Vincent",,"Warner Bros. Pictures|~|First National Pictures, Inc.|~|Clark, Robert|~|Associated British Picture Corporation|~|Boyd, Alex",,,Warner Bros. Pictures|~|Associated British-Pathe Limited,,"Hasty Heart, The  (Motion picture)",eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 659_ 12_ 1,1 photograph : b&w,8 x 10 in.,Richard Todd and Patricia Neal share a moment in The Hasty Heart,1948-12/1949,Handwritten in black ink text from back of photograph: 659|~|Handwritten in pencil text from back of photograph: The Hasty Heart|~|Handwritten in red ink text from back of photograph: 659|~|Stamped in black ink text from back of photograph: UCLAArts-SpecialCollections|~|Handwritten in pencil text from back of photograph: The Hasty HeartWarner Bros.  1949,"[beginning in December, 1948]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj23/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj3m,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj3m%2Fxn61fh9v,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Neal, Patricia, $d 1926-2010|~|Todd, Richard, $d 1919-2009","Sherman, Vincent",,"Warner Bros. Pictures|~|First National Pictures, Inc.|~|Clark, Robert|~|Associated British Picture Corporation|~|Boyd, Alex",,,Warner Bros. Pictures|~|Associated British-Pathe Limited,,"Hasty Heart, The  (Motion picture)",eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 659_ 12_ 2,1 photograph : b&w,8 x 10 in.,Patricia Neal and Richard Todd in The Hasty Heart,1948-12/1949,"Handwritten in black ink text from back of photograph: 49|~|Typed text from back of photograph: Patricia Neal and Richard Todd in ""The Hasty Heart"" WB-1949|~|Stamped in black ink text from back of photograph: UCLA - Arts S/CChester NelsonCollections|~|Handwritten in black ink text from back of photograph: MPS 659|~|Warner Bros. Pictures, Inc. Presents ""The Hasty Heart"" Starring Ronald Reagan - Patricia Neal - Richard Todd","[beginning in December, 1948]",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj3m/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj44,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj44%2Fck14rm9w,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,"Reagan, Ronald|~|Neal, Patricia, $d 1926-2010|~|Todd, Richard, $d 1919-2009","Sherman, Vincent",,"Warner Bros. Pictures|~|First National Pictures, Inc.|~|Clark, Robert|~|Associated British Picture Corporation|~|Boyd, Alex",,,Warner Bros. Pictures|~|Associated British-Pathe Limited,,"Hasty Heart, The  (Motion picture)",eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 659_ 12_ 3,1 photograph : b&w,8 x 10 in.,Bagpipe band at the Warner Hollywood Theatre for the premiere of The Hasty Heart,1949-12-01/1950-01-31,"Handwritten in blue ink text from back of photograph: MPS - 659|~|Stamped in purple ink text from back of photograph: [Encircled illegible text in what appears to be a postal date stamp]|~|Taped-on paper with typed text from the back of photograph: With all the trappings and fanfare of the most important formal Hollywood opening in recent years, ""The Hasty Heart,"" Warner Bros. film starring Ronald Reagan, Patricia Neal and Richard Todd, made its American screen debut before a distinguished audience comprised of a record number of film celebrities and civic dignitaries. Joining the Hollywood personalities and Los Angeles City officials, representatives of 36 foreign nations attended the gala premiere at the Warner Hollywood Theatre. In tribute to the Scottish hero of ""The Hasty Heart,"" bagpipe music was provided for the festive occasion by the Pipers Band of Scottish Post No. 80, Canadian Legion.|~|Stamped in black ink text from back of photograph: Theater Arts Library","[between December, 1949 and January, 1950]","Signage above the theater box office includes photographic images of the three top-billed actors in the film, ""The Hasty Heart"": Ronald Reagan, Richard Todd and Patricia Neal.|~|A photograph of movie-goers at the box office on premiere night for the film, ""The Hasty Heart,"" held at the Warner Hollywood Theater. The photograph also depicts an appearance by the Pipers Band of Scottish Post No. 80, Canadian Legion.",,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj44/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj5n,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj5n%2F0m38pj9v,individuals,private,still image,Black-and-white photographs|~|Comedy-drama films,copyrighted,unknown,,"Fenton, Frank, $d 1906-1957|~|Goddard, Paulette, $d 1911-1990|~|Carey, Macdonald","Marshall, George, $d 1891-1975",,"Paramount Pictures Corporation|~|Epstein, Mel, $d 1910-1994",,,Paramount Pictures Corporation,,Hazard  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 660_ 12_ 1,1 photograph : b&w,8 x 10 in.,"Paulette Goddard, Macdonald Carey, and Frank Fenton in Hazard",1947-10-27/1947-11,Text from back of photograph: Macdonald Carey as J.D. Storm; Paulette Goddard as Ellen Crane and Frank Fenton as the Sheriff.,between October 27 - November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj5n/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj65,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj65%2F2v24s07d,individuals,private,still image,Black-and-white photographs|~|Comedy-drama films,copyrighted,unknown,,"Clements, Stanley, $d 1926-1981|~|Goddard, Paulette, $d 1911-1990","Marshall, George, $d 1891-1975",,"Paramount Pictures Corporation|~|Epstein, Mel, $d 1910-1994",,,Paramount Pictures Corporation,,Hazard  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 660_ 12_ 10,1 photograph : b&w,8 x 10 in.,Paulette Goddard and Stanley Clements in Hazard,1947-10-27/1947-11,Text from back of photograph: Paulette Goddard as Ellen Crane and Stanley Clements as Joe.,between October 27 - November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj65/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj7p,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj7p%2Ffz75m36s,individuals,private,still image,Black-and-white photographs|~|Comedy-drama films,copyrighted,unknown,,"Carey, Macdonald|~|Randolph, Ed|~|Hall, William","Marshall, George, $d 1891-1975",,"Paramount Pictures Corporation|~|Epstein, Mel, $d 1910-1994",,,Paramount Pictures Corporation,,Hazard  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 660_ 12_ 11,1 photograph : b&w,8 x 10 in.,"Macdonald Carey, Ed Randolph, and William Hall in Hazard",1947-10-27/1947-11,Text from back of photograph: William Hall as the doorman; Macdonald Carey as J.D. Storm; and Ed Randolph as the taxi driver.,between October 27 - November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj7p/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj86,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj86%2F4w02vv9v,individuals,private,still image,Black-and-white photographs|~|Comedy-drama films,copyrighted,unknown,,"Goddard, Paulette, $d 1911-1990|~|Carey, Macdonald|~|Rosenbloom, Maxie, $d 1904-1976","Marshall, George, $d 1891-1975",,"Paramount Pictures Corporation|~|Epstein, Mel, $d 1910-1994",,,Paramount Pictures Corporation,,Hazard  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 660_ 12_ 12,1 photograph : b&w,8 x 10 in.,"Paulette Goddard, Macdonald Carey, and Maxie Rosenbloom in Hazard",1947-10-27/1947-11,Text from back of photograph: Macdonald Carey as J.D. Storm; Maxie Rosenbloom as a truck driver and Paulette Goddard as Ellen Crane.,between October 27 - November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj86/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntj9q,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntj9q%2Fpp45r448,individuals,private,still image,Black-and-white photographs|~|Comedy-drama films,copyrighted,unknown,,"Fenton, Frank, $d 1906-1957|~|Goddard, Paulette, $d 1911-1990|~|Carey, Macdonald","Marshall, George, $d 1891-1975",,"Paramount Pictures Corporation|~|Epstein, Mel, $d 1910-1994",,,Paramount Pictures Corporation,,Hazard  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 660_ 12_ 13,1 photograph : b&w,8 x 10 in.,"Paulette Goddard, Macdonald Carey, and Frank Fenton in Hazard",1947-10-27/1947-11,Text from back of photograph: Macdonald Carey as J.D. Storm; Frank Fenton as the Sheriff and Paulette Goddard as Ellen Crane.,between October 27 - November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntj9q/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntjb7,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntjb7%2Fxq11m38j,individuals,private,still image,Black-and-white photographs|~|Comedy-drama films,copyrighted,unknown,,"Fenton, Frank, $d 1906-1957|~|Goddard, Paulette, $d 1911-1990|~|Carey, Macdonald|~|Rosenbloom, Maxie, $d 1904-1976","Marshall, George, $d 1891-1975",,"Paramount Pictures Corporation|~|Epstein, Mel, $d 1910-1994",,,Paramount Pictures Corporation,,Hazard  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 660_ 12_ 14,1 photograph : b&w,8 x 10 in.,"Paulette Goddard, Macdonald Carey, Maxie Rosenbloom, and Frank Fenton in Hazard",1947-10-27/1947-11,Text from back of photograph: Macdonald Carey as J.D. Storm; Paulette Goddard as Ellen Crane; Maxie Rosenbloom as a truck driver and Frank Fenton as the Sheriff.,between October 27 - November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntjb7/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001ntjcr,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ntjcr%2Fh6209650,individuals,private,still image,Black-and-white photographs|~|Comedy-drama films,copyrighted,unknown,,"Goddard, Paulette, $d 1911-1990|~|Helton, Percy, $d 1894-1971","Marshall, George, $d 1891-1975",,"Paramount Pictures Corporation|~|Epstein, Mel, $d 1910-1994",,,Paramount Pictures Corporation,,Hazard  (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 660_ 12_ 15,1 photograph : b&w,8 x 10 in.,"Paulette Goddard, Percy Helton, and other cast members in Hazard",1947-10-27/1947-11,"Text from back of photograph: Foreground, second from left, Joey Ray as a Bookie; Hal Rand (in checked jacket) as a Cab Driver; Ray Teal as a Plain Clothes Man; Dick Keene as Skip; Paulette Goddard as Ellen Crane; Percy Helton as Beady; Walter Baldwin as the Superintendent and William Meader as a Cab Driver.",between October 27 - November 1947,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ntjcr/manifest
