Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Subject,Type.genre,Coverage.geographic,Name.photographer,Name.creator,Author,Name.repository,Format.medium,Format.dimensions,Format.extent,Title,Alt ID.local,Description,Date.normalized,Date.creation,Alt ID.oclc,Publisher.publisherName,Date.publication,Publisher.placeOfOrigin,Description.biographicalNote,Description.abstract,Opac url,Finding Aid URL
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dwsww,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dwsww_1795632_master.tif|~|orientalism/masters/21198-zz001dwsww_1795635_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-001_002_003,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dwt40,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dwt40_1795646_master.tif|~|orientalism/masters/21198-zz001dwt40_1795649_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-007_008_009,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dwt9k,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dwt9k_1795655_master.tif|~|orientalism/masters/21198-zz001dwt9k_1795652_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-010_011_012,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcgs,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzcgs_1795658_master.tif|~|orientalism/masters/21198-zz001dzcgs_1795661_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-013_014_015,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzch9,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzch9_1796477_master.tif|~|orientalism/masters/21198-zz001dzch9_1796474_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-122_123_124,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzckb,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzckb_1796129_master.tif|~|orientalism/masters/21198-zz001dzckb_1796126_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-092_093_094,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcpw,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzcpw_1796486_master.tif|~|orientalism/masters/21198-zz001dzcpw_1796489_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-128_129_130,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcrx,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzcrx_1796114_master.tif|~|orientalism/masters/21198-zz001dzcrx_1796117_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-086_087_088,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcvg,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzcvg_1796660_master.tif|~|orientalism/masters/21198-zz001dzcvg_1796873_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-134_135_136,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcxh,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzcxh_1796102_master.tif|~|orientalism/masters/21198-zz001dzcxh_1796105_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-080_081_082,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzd3k,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzd3k_1795638_master.tif|~|orientalism/masters/21198-zz001dzd3k_1795641_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-004_005_006,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzd85,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzd85_1796096_master.tif|~|orientalism/masters/21198-zz001dzd85_1796091_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-076_077_078,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdcq,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdcq_1796912_master.tif|~|orientalism/masters/21198-zz001dzdcq_1796915_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-155_156_157,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdfr,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdfr_1796082_master.tif|~|orientalism/masters/21198-zz001dzdfr_1796079_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-070_071_072,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdhs,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdhs_1796900_master.tif|~|orientalism/masters/21198-zz001dzdhs_1796903_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-149_150_151,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdkt,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdkt_1796067_master.tif|~|orientalism/masters/21198-zz001dzdkt_1796070_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-064_065_066,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdpc,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdpc_1796879_master.tif|~|orientalism/masters/21198-zz001dzdpc_1796876_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-137_138_139,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdrd,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdrd_1796055_master.tif|~|orientalism/masters/21198-zz001dzdrd_1796058_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-058_059_060,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdvz,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdvz_1796882_master.tif|~|orientalism/masters/21198-zz001dzdvz_1796885_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-140_141_142,,,,,,,,,,,,
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzdzh,ark:/21198/zz0009rghf,2,Completed,Work,orientalism/masters/21198-zz001dzdzh_1796061_master.tif|~|orientalism/masters/21198-zz001dzdzh_1796064_master.tif,,,,still image,copyrighted,,,,,,,,,,,,AO-3D-061_062_063,,,,,,,,,,,,
