"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Subject","Type.genre","Coverage.geographic","Name.photographer","Name.creator","Author","Name.repository","Format.medium","Format.dimensions","Format.extent","Title","Alt ID.local","Description","Date.normalized","Date.creation","Alt ID.oclc","Publisher.publisherName","Date.publication","Publisher.placeOfOrigin","Description.biographicalNote","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1d525ks","ark:/21198/zz001dwsww","2","Completed","Page","orientalism/masters/21198-zz001dwsww_1795632_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d525ks"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z18d1dwh","ark:/21198/zz001dwsww","2","Completed","Page","orientalism/masters/21198-zz001dwsww_1795635_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1dwh"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z14n0p73","ark:/21198/zz001dwt40","2","Completed","Page","orientalism/masters/21198-zz001dwt40_1795646_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0p73"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z10v9xgc","ark:/21198/zz001dwt40","2","Completed","Page","orientalism/masters/21198-zz001dwt40_1795649_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10v9xgc"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1w684fj","ark:/21198/zz001dwt9k","2","Completed","Page","orientalism/masters/21198-zz001dwt9k_1795655_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w684fj"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1rf7cqt","ark:/21198/zz001dwt9k","2","Completed","Page","orientalism/masters/21198-zz001dwt9k_1795652_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7cqt"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1mp6mx6","ark:/21198/zz001dzcgs","2","Completed","Page","orientalism/masters/21198-zz001dzcgs_1795658_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6mx6"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1gx5w6w","ark:/21198/zz001dzcgs","2","Completed","Page","orientalism/masters/21198-zz001dzcgs_1795661_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx5w6w"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1c554h9","ark:/21198/zz001dzch9","2","Completed","Page","orientalism/masters/21198-zz001dzch9_1796477_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c554h9"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z17d4cvg","ark:/21198/zz001dzch9","2","Completed","Page","orientalism/masters/21198-zz001dzch9_1796474_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4cvg"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z13n3n3q","ark:/21198/zz001dzckb","2","Completed","Page","orientalism/masters/21198-zz001dzckb_1796129_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3n3q"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1001kt2","ark:/21198/zz001dzckb","2","Completed","Page","orientalism/masters/21198-zz001dzckb_1796126_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001kt2"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1v71388","ark:/21198/zz001dzcpw","2","Completed","Page","orientalism/masters/21198-zz001dzcpw_1796486_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71388"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1qg0bh3","ark:/21198/zz001dzcpw","2","Completed","Page","orientalism/masters/21198-zz001dzcpw_1796489_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0bh3"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1kp9kst","ark:/21198/zz001dzcrx","2","Completed","Page","orientalism/masters/21198-zz001dzcrx_1796114_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9kst"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1fx8v4d","ark:/21198/zz001dzcrx","2","Completed","Page","orientalism/masters/21198-zz001dzcrx_1796117_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx8v4d"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1b583ft","ark:/21198/zz001dzcvg","2","Completed","Page","orientalism/masters/21198-zz001dzcvg_1796660_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b583ft"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z16d7bq3","ark:/21198/zz001dzcvg","2","Completed","Page","orientalism/masters/21198-zz001dzcvg_1796873_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7bq3"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z12r59cn","ark:/21198/zz001dzcxh","2","Completed","Page","orientalism/masters/21198-zz001dzcxh_1796102_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r59cn"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1z04stc","ark:/21198/zz001dzcxh","2","Completed","Page","orientalism/masters/21198-zz001dzcxh_1796105_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z04stc"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1t74220","ark:/21198/zz001dzd3k","2","Completed","Page","orientalism/masters/21198-zz001dzd3k_1795638_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t74220"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1pg39b8","ark:/21198/zz001dzd3k","2","Completed","Page","orientalism/masters/21198-zz001dzd3k_1795641_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg39b8"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1jq2jn0","ark:/21198/zz001dzd85","2","Completed","Page","orientalism/masters/21198-zz001dzd85_1796096_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2jn0"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1dz1t11","ark:/21198/zz001dzd85","2","Completed","Page","orientalism/masters/21198-zz001dzd85_1796091_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1t11"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1961273","ark:/21198/zz001dzdcq","2","Completed","Page","orientalism/masters/21198-zz001dzdcq_1796912_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961273"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z15h90zk","ark:/21198/zz001dzdcq","2","Completed","Page","orientalism/masters/21198-zz001dzdcq_1796915_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h90zk"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z11r886t","ark:/21198/zz001dzdfr","2","Completed","Page","orientalism/masters/21198-zz001dzdfr_1796082_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r886t"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1x07rp0","ark:/21198/zz001dzdfr","2","Completed","Page","orientalism/masters/21198-zz001dzdfr_1796079_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07rp0"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1s770zn","ark:/21198/zz001dzdhs","2","Completed","Page","orientalism/masters/21198-zz001dzdhs_1796900_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s770zn"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1ng6897","ark:/21198/zz001dzdhs","2","Completed","Page","orientalism/masters/21198-zz001dzdhs_1796903_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6897"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1hq5hnd","ark:/21198/zz001dzdkt","2","Completed","Page","orientalism/masters/21198-zz001dzdkt_1796067_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5hnd"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1d23g98","ark:/21198/zz001dzdkt","2","Completed","Page","orientalism/masters/21198-zz001dzdkt_1796070_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23g98"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1892qm0","ark:/21198/zz001dzdpc","2","Completed","Page","orientalism/masters/21198-zz001dzdpc_1796879_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892qm0"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z14j1ztc","ark:/21198/zz001dzdpc","2","Completed","Page","orientalism/masters/21198-zz001dzdpc_1796876_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j1ztc"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z10s1720","ark:/21198/zz001dzdrd","2","Completed","Page","orientalism/masters/21198-zz001dzdrd_1796055_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1720"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1w10qkm","ark:/21198/zz001dzdrd","2","Completed","Page","orientalism/masters/21198-zz001dzdrd_1796058_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10qkm"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1r79zx7","ark:/21198/zz001dzdvz","2","Completed","Page","orientalism/masters/21198-zz001dzdvz_1796882_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r79zx7"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1mg977r","ark:/21198/zz001dzdvz","2","Completed","Page","orientalism/masters/21198-zz001dzdvz_1796885_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg977r"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1gt75vf","ark:/21198/zz001dzdzh","2","Completed","Page","orientalism/masters/21198-zz001dzdzh_1796061_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt75vf"
