"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.creator","Name.subject","Name.contributor","Rights.servicesContact","Language","Type.genre","Subject","Rights.notice","Name.repository","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.creation","Date.normalized","Description.caption","Description.note","Description.abstract","Date.publication","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Faderman (Lillian) Collection","ark:/21198/zz0017jwmn","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwmn_505620_master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwmn",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwn5","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwn5_505623_master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwn5",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwpp","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwpp_505626_master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwpp",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwq6","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwq6_505635_master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwq6",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwrq","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwrq_505638_master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwrq",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jws7","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jws7_505641_master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jws7",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwtr","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwtr_505644_master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwtr",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwv8","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwv8_505647_master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwv8",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwws","ark:/21198/zz0017jwjm","2","Completed","Page","faderman/images/masters/21198-zz0017jwws_505650_master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jwws",""
"Faderman (Lillian) Collection","ark:/21198/zz0017jwx9","ark:/21198/zz0017jwjm","2","Completed","Page","","10","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","missing","",""
