Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Name.repository,Type.typeOfResource,Rights.servicesContact,Title,Relation.pageNumber,Description.note,Description.abstract,thumbnailImageName,masterImageName
Corpus Juris Canonici,ark:/21198/zz0014rx9x,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rx9x-1-master.tif,1,,,pd,,,,[Decretum Gratiani: title page],,,,21198-zz0014rx9x-1-thumbnail.jpg,21198-zz0014rx9x-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxbf,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxbf-1-master.tif,2,,,pd,,,,[Decretum Gratiani: 2],,,,21198-zz0014rxbf-1-thumbnail.jpg,21198-zz0014rxbf-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxcz,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxcz-1-master.tif,3,,,pd,,,,[Decretum Gratiani: 3],,,,21198-zz0014rxcz-1-thumbnail.jpg,21198-zz0014rxcz-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxdg,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxdg-1-master.tif,4,,,pd,,,,[Decretum Gratiani: 4],,,,21198-zz0014rxdg-1-thumbnail.jpg,21198-zz0014rxdg-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxf0,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxf0-1-master.tif,5,,,pd,,,,[Decretum Gratiani: 5],,,,21198-zz0014rxf0-1-thumbnail.jpg,21198-zz0014rxf0-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxgh,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxgh-1-master.tif,6,,,pd,,,,[Decretum Gratiani: 6],,,,21198-zz0014rxgh-1-thumbnail.jpg,21198-zz0014rxgh-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxh1,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxh1-1-master.tif,7,,,pd,,,,[Decretum Gratiani: 7],,,,21198-zz0014rxh1-1-thumbnail.jpg,21198-zz0014rxh1-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxjj,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxjj-1-master.tif,8,,,pd,,,,[Decretum Gratiani: 8],,,,21198-zz0014rxjj-1-thumbnail.jpg,21198-zz0014rxjj-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxk2,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxk2-1-master.tif,9,,,pd,,,,[Decretum Gratiani: 9],,,,21198-zz0014rxk2-1-thumbnail.jpg,21198-zz0014rxk2-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxmk,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxmk-1-master.tif,10,,,pd,,,,[Decretum Gratiani: 10],,,,21198-zz0014rxmk-1-thumbnail.jpg,21198-zz0014rxmk-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxn3,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxn3-1-master.tif,11,,,pd,,,,[Decretum Gratiani: 11],,,,21198-zz0014rxn3-1-thumbnail.jpg,21198-zz0014rxn3-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014rxpm,ark:/21198/zz0014rx6c,2,Completed,ChildWork,canonlaw/masters/21198-zz0014rxpm-1-master.tif,12,,,pd,,,,[Decretum Gratiani: 12],,,,21198-zz0014rxpm-1-thumbnail.jpg,21198-zz0014rxpm-1-master.tif
