Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Name.repository,Type.typeOfResource,Rights.servicesContact,Title,Relation.pageNumber,Description.note,Description.abstract,thumbnailImageName,masterImageName
Corpus Juris Canonici,ark:/21198/zz0014s786,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s786-1-master.tif,1,,,pd,,text,,[Liber Sextus: 1],,,,21198-zz0014s786-1-thumbnail.jpg,21198-zz0014s786-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s79q,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s79q-1-master.tif,2,,,pd,,text,,[Liber Sextus: 2],,,,21198-zz0014s79q-1-thumbnail.jpg,21198-zz0014s79q-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7b7,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7b7-1-master.tif,3,,,pd,,text,,[Liber Sextus: 3],,,,21198-zz0014s7b7-1-thumbnail.jpg,21198-zz0014s7b7-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7cr,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7cr-1-master.tif,4,,,pd,,text,,[Liber Sextus: 4],,,,21198-zz0014s7cr-1-thumbnail.jpg,21198-zz0014s7cr-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7d8,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7d8-1-master.tif,5,,,pd,,text,,[Liber Sextus: 5],,,,21198-zz0014s7d8-1-thumbnail.jpg,21198-zz0014s7d8-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7fs,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7fs-1-master.tif,6,,,pd,,text,,[Liber Sextus: 6],,,,21198-zz0014s7fs-1-thumbnail.jpg,21198-zz0014s7fs-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7g9,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7g9-1-master.tif,7,,,pd,,text,,[Liber Sextus: 7],,,,21198-zz0014s7g9-1-thumbnail.jpg,21198-zz0014s7g9-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7ht,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7ht-1-master.tif,8,,,pd,,text,,[Liber Sextus: 8],,,,21198-zz0014s7ht-1-thumbnail.jpg,21198-zz0014s7ht-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7jb,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7jb-1-master.tif,9,,,pd,,text,,[Liber Sextus: 9],,,,21198-zz0014s7jb-1-thumbnail.jpg,21198-zz0014s7jb-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s7kv,ark:/21198/zz0014rx8d,2,Completed,Page,canonlaw/masters/21198-zz0014s7kv-1-master.tif,10,,,pd,,text,,[Liber Sextus: 10],,,,21198-zz0014s7kv-1-thumbnail.jpg,21198-zz0014s7kv-1-master.tif
