Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Name.repository,Type.typeOfResource,Rights.servicesContact,Title,Relation.pageNumber,Description.note,Description.abstract,thumbnailImageName,masterImageName
Corpus Juris Canonici,ark:/21198/zz0014s016,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s016-1-master.tif,1,,,pd,,,,1,,,,21198-zz0014s016-1-thumbnail.jpg,21198-zz0014s016-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s02q,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s02q-1-master.tif,2,,,pd,,,,2,,,,21198-zz0014s02q-1-thumbnail.jpg,21198-zz0014s02q-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s037,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s037-1-master.tif,3,,,pd,,,,3,,,,21198-zz0014s037-1-thumbnail.jpg,21198-zz0014s037-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s04r,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s04r-1-master.tif,4,,,pd,,,,4,,,,21198-zz0014s04r-1-thumbnail.jpg,21198-zz0014s04r-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s058,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s058-1-master.tif,5,,,pd,,,,5,,,,21198-zz0014s058-1-thumbnail.jpg,21198-zz0014s058-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s06s,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s06s-1-master.tif,6,,,pd,,,,6,,,,21198-zz0014s06s-1-thumbnail.jpg,21198-zz0014s06s-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s079,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s079-1-master.tif,7,,,pd,,,,7,,,,21198-zz0014s079-1-thumbnail.jpg,21198-zz0014s079-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s08t,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s08t-1-master.tif,8,,,pd,,,,8,,,,21198-zz0014s08t-1-thumbnail.jpg,21198-zz0014s08t-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s09b,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s09b-1-master.tif,9,,,pd,,,,9,,,,21198-zz0014s09b-1-thumbnail.jpg,21198-zz0014s09b-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0bv,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0bv-1-master.tif,10,,,pd,,,,10,,,,21198-zz0014s0bv-1-thumbnail.jpg,21198-zz0014s0bv-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0cc,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0cc-1-master.tif,11,,,pd,,,,11,,,,21198-zz0014s0cc-1-thumbnail.jpg,21198-zz0014s0cc-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0dw,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0dw-1-master.tif,12,,,pd,,,,12,,,,21198-zz0014s0dw-1-thumbnail.jpg,21198-zz0014s0dw-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0fd,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0fd-1-master.tif,13,,,pd,,,,13,,,,21198-zz0014s0fd-1-thumbnail.jpg,21198-zz0014s0fd-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0gx,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0gx-1-master.tif,14,,,pd,,,,14,,,,21198-zz0014s0gx-1-thumbnail.jpg,21198-zz0014s0gx-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0hf,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0hf-1-master.tif,15,,,pd,,,,15,,,,21198-zz0014s0hf-1-thumbnail.jpg,21198-zz0014s0hf-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0jz,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0jz-1-master.tif,16,,,pd,,,,16,,,,21198-zz0014s0jz-1-thumbnail.jpg,21198-zz0014s0jz-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0kg,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0kg-1-master.tif,17,,,pd,,,,17,,,,21198-zz0014s0kg-1-thumbnail.jpg,21198-zz0014s0kg-1-master.tif
Corpus Juris Canonici,ark:/21198/zz0014s0m0,ark:/21198/zz0014rx7w,2,Completed,ChildWork,canonlaw/masters/21198-zz0014s0m0-1-master.tif,18,,,pd,,,,18,,,,21198-zz0014s0m0-1-thumbnail.jpg,21198-zz0014s0m0-1-master.tif
