Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc63p,,2,Completed,Collection,,,,,,,,,,,,,,,,East Asian Maps in the Bruman Collection,G7800 ,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,"The East Asian Maps Collection consists of 1079 maps of China, Japan, Korea, Manchuria, and other areas in East Asia. The maps were produced between 1800 and 1960s. A majority of them produced by the Office of Strategic Service, the American Map Society, the National Geographic Magazine, and government agents or commercial publishers in China, Great Britain, and Japan. Some of the maps were once highly classified and produced in limited quantities.",,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc87q,ark:/21198/zz002hc63p,2,Completed,Work,,,,,,,,eng,cartographic,map|~|Topographic maps.,China--Maps,,United States. Army Map Service.,,,"China, 1:250,000",,1954-,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,maps. col. 47 x 66 cm. or smaller.,dcu|~|Washington,"Issued in quadrangles 1° of latitude by 1 1/2 - 2° of longitude.|~|Each sheet includes ""Glossary"" and ""Location diagram"" partly on versos.|~|""Transverse Mercator projection.""|~|Some sheets have city maps on versos.|~|""Names romanized in accordance with the Modified Wade-Giles system."" Many names printed also as Chinese ideographs. Some sheets have legend in English and Chinese.|~|Also available online.|~|Coverage includes Tibet and Sinkiang; Mongolia, Manchuria and Formosa are convered by separate sets.|~|Scale 1:250,000.|~|Relief represented by contours.|~|Accompanied by index map on sheet 27 x 54 cm.",China,,Series L500,map56000431,,https://arcg.is/LH9rf
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc887,ark:/21198/zz002hc63p,1,In progress,Work,,,,,,,,eng,cartographic,map|~|Topographic maps.,Manchuria (China)--Maps,,United States. Army Map Service.,,,"Manchuria 1:250,000",,1945-,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,col. maps. 45 x 35 cm.,dcu|~|Washington,"Complete in about 185 sheets. Set includes various issues of some sheets.|~|Four classes of roads or trails and five classes of railroads are shown.|~|Scale 1:250,000.|~|Issued in 1° quadrangles numbered according to the system used for the International 1/m map of the world.|~|Includes ""Glossary.""|~|""Polyconic projection.""|~|Co-ordinated for use with the following sets covering adjoining areas: China proper, N.E. 1:250,000 (A.M.S. L531) Korea 1:250,000 (A.M.S. L551) and Inner Mongolia 1:250,000 (A.M.S. L521).|~|""Contour interval 100 meters with auxiliary contours at 25 meter and 50 meter intervals.""|~|Marginal maps: Index to adjoining sheets.--Coverage diagram.--Index to boundaries.|~|Military grid.|~|""Russian place names transliterated according to the P.C.G.N. (1942) system ... Chinese place names transcribed according to the modified Wade-Giles system.""",Manchuria (China),,Series L541,map48000239,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8cs,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_1_ED1.tif,2,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1093000|~|southernmost:N0190000|~|westernmost:E1080000|~|northernmost:N0200000,Ch'ang-Chiang,G7810_S250_U54_NE49_1_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8d9,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_1_ED2.tif,3,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1093000|~|northernmost:N0200000|~|westernmost:E1080000|~|southernmost:N0190000,Ch'ang-Chiang,G7810_S250_U54_NE49_1_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,昌江,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8ft,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_2_ED1.tif,4,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110300|~|northernmost:N0200000|~|southernmost:N0190000,Ch'eng-Mai,G7810_S250_U54_NE49_2_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8gb,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_2_ED2.tif,5,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110030|~|northernmost:N0200000|~|southernmost:N0190000,Ch'eng-Mai,G7810_S250_U54_NE49_2_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,澄邁,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8hv,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_5_ED1.tif,6,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",southernmost:N0180000|~|easternmost:E1093000|~|northernmost:N0190000|~|westernmost:E1080000,Yai-Hsien,G7810_S250_U54_NE49_5_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8jc,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_5_ED2.tif,7,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0190000|~|easternmost:E1093000|~|southernmost:N0180000|~|westernmost:E1080000,Yai-Hsien,G7810_S250_U54_NE49_5_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,崖縣,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8kw,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_6_ED1.tif,8,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110000|~|northernmost:N0190000|~|southernmost:N0180000,Wan-Ning,G7810_S250_U54_NE49_6_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8md,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NE49_6_ED2.tif,9,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0190000|~|southernmost:N0180000|~|westernmost:E1093000|~|easternmost:E1110000,Wan-Ning,G7810_S250_U54_NE49_6_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,萬寧,,,,
