"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0014sn5f","ark:/21198/zz0014sn4x","2","Completed","Page","scwu/images/masters/21198-zz0014sn5f-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sn5f",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0014sn6z","ark:/21198/zz0014sn4x","2","Completed","Page","scwu/images/masters/21198-zz0014sn6z-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sn6z",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0014sn7g","ark:/21198/zz0014sn4x","2","Completed","Page","scwu/images/masters/21198-zz0014sn7g-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sn7g",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0014sn80","ark:/21198/zz0014sn4x","2","Completed","Page","scwu/images/masters/21198-zz0014sn80-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014sn80",""
