Project Name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Language,Name.repository,Name.creator,Type.genre,viewingHint,Text direction,Visibility,IIIF Range,Title,Alternate Title.scriptArm,Alt ID.oclc,Publisher.publisherName,Format.extent,Description.note,Place of origin,Date.creation,Format.dimensions,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c10jc,2,Completed,Page,books/image/21198-zz002c10jc_2032993_master.tif,1,,,,,,,,,,,,cover image,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c10jc,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c127p,2,Completed,Page,books/image/21198-zz002c127p_2033006_master.tif,2,,,,,,,,,,,,inside front cover,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c127p,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1286,2,Completed,Page,books/image/21198-zz002c1286_2033009_master.tif,3,,,,,,,,,,,,blank page,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1286,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c12cr,2,Completed,Page,books/image/21198-zz002c12cr_2033018_master.tif,4,,,,,,,,,,,,blank page,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c12cr,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c12d8,2,Completed,Page,books/image/21198-zz002c12d8_2033021_master.tif,5,,,,,,,,,,,,title page and ill.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c12d8,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c13gs,2,Completed,Page,books/image/21198-zz002c13gs_2033132_master.tif,6,,,,,,,,,,,,text and ill.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c13gs,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c13xh,2,Completed,Page,books/image/21198-zz002c13xh_2033183_master.tif,7,,,,,,,,,,,,text,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c13xh,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c13z1,2,Completed,Page,books/image/21198-zz002c13z1_2033186_master.tif,8,,,,,,,,,,,,text and ill.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c13z1,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1401,2,Completed,Page,books/image/21198-zz002c1401_2033189_master.tif,9,,,,,,,,,,,,text,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1401,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c141j,2,Completed,Page,books/image/21198-zz002c141j_2033192_master.tif,10,,,,,,,,,,,,text and ill.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c141j,
