Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Language,Name.repository,Name.creator,Type.genre,viewingHint,Text direction,Visibility,IIIF Range,Title,Alternate Title.scriptArm,Alt ID.oclc,Alt ID.local,Publisher.publisherName,Format.extent,Description.note,Place of origin,Date.creation,Format.dimensions,Opac url,IIIF Access URL,IIIF Manifest URL
UCLA Library Books,ark:/21198/zz002c0188,,2,Completed,Collection,,,,,,,,,,,,,,UCLA Library Books,,,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002c0188
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c0188,2,Completed,Work,,,,,text,arm,"University of California, Los Angeles. Library","Chʻamchʻyantsʻ, Mikʻayel, $d 1736-1823. : LCNAF - PN|~|Չամչյանց, Միքայել, 1736֊1823.",Books,paged,,,,Vahan Hawatoy:  Ughghapʻaṛutʻean Hayastaneaytsʻ Ekeghetsʻoy,Վահան հաւատոյ : Ուղղափառութեան Հայաստանեայց Եկեղեցոյ / հօրինեալ ի Միքայէլ Չամչեան.,261676282,SRLF [Barcode:AX0002923209],I P’etr,"118, 25 p. : ill.",includes bibliographical references,Kipros,1825,23 cm.,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6156503,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c12d8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c10hv/manifest
