"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Relation.isPartOf","Relation.box","Date.creation","Alt ID.local","Description.caption","Format.medium","Relation.folder","Title","Format.dimensions","AltTitle.uniform","Description.note","Description.abstract","Finding Aid URL","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Takamura (Kango) paintings","ark:/21198/zz002k6gkc/0x92bv3z","ark:/21198/zz002k6gkc","2","Completed","Page","takamura/image/takamura21198-zz002k6gkc_2384105_master.tif","1","","","","","","","","","","","Page 1","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gkc%2F0x92bv3z",""
"Takamura (Kango) paintings","ark:/21198/zz002k6gkc/bk331v40","ark:/21198/zz002k6gkc","2","Completed","Page","takamura/image/takamura21198-zz002k6gkc_2384110_master.tif","2","","","","","","","","","","","Page 2","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gkc%2Fbk331v40",""
