Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Title,AltTitle.other,Alt ID.local,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Rights.rightsHolderContact,Description.note,Summary,Subject,Relation.isPartOf,Date.normalized,Date.creation,Opac url,Finding Aid URL,License,IIIF Manifest URL
Thrope (Martin) Collection,ark:/21198/zz002h287p,ark:/21198/zz002ddr65,2,Completed,Work,,,,,individuals,,NCC Operator's Guide,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10592hk,,,copyrighted,,Y,eng,"Cosell, Bernard",Kleinrock Internet History Center,,,,ARPANET (Computer network),,1972-11-29,29 Nov 1972,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h287p/manifest
Thrope (Martin) Collection,ark:/21198/zz002h2886,ark:/21198/zz002ddr65,2,Completed,Work,,,,,individuals,,New Version of the NCC,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8pxz,,,copyrighted,,Y,eng,"Cosell, Bernard",Kleinrock Internet History Center,,,,ARPANET (Computer network),,1973-03-23,23 Feb 1973,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2886/manifest
Thrope (Martin) Collection,ark:/21198/zz002h289q,ark:/21198/zz002ddr65,2,Completed,Work,,,,,individuals,,My Plans,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9fjb,,,copyrighted,,Y,eng,"Thrope, Martin",Kleinrock Internet History Center,,,,ARPANET (Computer network),,1974-08-04,9 Aug 1974,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h289q/manifest
Thrope (Martin) Collection,ark:/21198/zz002h28b7,ark:/21198/zz002ddr65,2,Completed,Work,,,,,individuals,,My waining responsibilities,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5m47,,,copyrighted,,Y,eng,"Thrope, Martin",Kleinrock Internet History Center,,,,ARPANET (Computer network),,1974-09-03,3 Sep 1974,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28b7/manifest
Thrope (Martin) Collection,ark:/21198/zz002h28cr,ark:/21198/zz002ddr65,2,Completed,Work,,,,,individuals,,BBN Division 6 Phone List,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4vdh,,,copyrighted,,Y,eng,,Kleinrock Internet History Center,,,,ARPANET (Computer network),,1975-09-17,17 Sep 1975,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28cr/manifest
Thrope (Martin) Collection,ark:/21198/zz002h28d8,ark:/21198/zz002ddr65,2,Completed,Work,,,,,individuals,,Fix to UCLA Ready Line New,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0k3p,,,copyrighted,,Y,eng,"Thrope, Martin",Kleinrock Internet History Center,,,,ARPANET (Computer network),,1971/1972,1971-1972,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h28d8/manifest
