"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Title","AltTitle.other","Alt ID.local","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Subject","Relation.isPartOf","Date.normalized","Date.creation","Opac url","Bucketeer State","IIIF Access URL"
"Thrope (Martin) Collection","ark:/21198/z1wd5m47","ark:/21198/zz002h28b7","","","Page","martin_thrope/image/pdf_images/21198-zz002h28b7-1-master_001.tif","1","","","","","Page 1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5m47"
"Thrope (Martin) Collection","ark:/21198/z1rn4vdh","ark:/21198/zz002h28cr","","","Page","martin_thrope/image/pdf_images/21198-zz002h28cr-1-master_001.tif","1","","","","","Page 1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4vdh"
"Thrope (Martin) Collection","ark:/21198/z1mw43qm","ark:/21198/zz002h28cr","","","Page","martin_thrope/image/pdf_images/21198-zz002h28cr-1-master_002.tif","2","","","","","Page 2","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw43qm"
"Thrope (Martin) Collection","ark:/21198/z1h43c3z","ark:/21198/zz002h28cr","","","Page","martin_thrope/image/pdf_images/21198-zz002h28cr-1-master_003.tif","3","","","","","Page 3","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43c3z"
"Thrope (Martin) Collection","ark:/21198/z1cg19qn","ark:/21198/zz002h28cr","","","Page","martin_thrope/image/pdf_images/21198-zz002h28cr-1-master_004.tif","4","","","","","Page 4","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg19qn"
"Thrope (Martin) Collection","ark:/21198/z17q0k3p","ark:/21198/zz002h28d8","","","Page","martin_thrope/image/pdf_images/21198-zz002h28d8-1-master_001.tif","1","","","","","Page 1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0k3p"
"Thrope (Martin) Collection","ark:/21198/z13x9t82","ark:/21198/zz002h28d8","","","Page","martin_thrope/image/pdf_images/21198-zz002h28d8-1-master_002.tif","2","","","","","Page 2","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9t82"
"Thrope (Martin) Collection","ark:/21198/z10592hk","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_001.tif","1","","","","","Page 1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10592hk"
"Thrope (Martin) Collection","ark:/21198/z1vd8k19","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_002.tif","2","","","","","Page 2","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8k19"
"Thrope (Martin) Collection","ark:/21198/z1qn7tcg","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_003.tif","3","","","","","Page 3","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7tcg"
"Thrope (Martin) Collection","ark:/21198/z1kw72pk","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_004.tif","4","","","","","Page 4","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw72pk"
"Thrope (Martin) Collection","ark:/21198/z1g751bf","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_005.tif","5","","","","","Page 5","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g751bf"
"Thrope (Martin) Collection","ark:/21198/z1bg48pm","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_006.tif","6","","","","","Page 6","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg48pm"
"Thrope (Martin) Collection","ark:/21198/z16q3hvj","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_007.tif","7","","","","","Page 7","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3hvj"
"Thrope (Martin) Collection","ark:/21198/z12z2s3s","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_008.tif","8","","","","","Page 8","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2s3s"
"Thrope (Martin) Collection","ark:/21198/z1z628ms","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_009.tif","9","","","","","Page 9","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z628ms"
"Thrope (Martin) Collection","ark:/21198/z1tf1hxh","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_010.tif","10","","","","","Page 10","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1hxh"
