"Project Name","Parent ARK","Item ARK","Object Type","File Name","viewingHint","Text direction","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz0009n584","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009n584-1-master.tif","","","Ms. 5_1","1","Page 1","","","pd","","cus|~|gez","","","","","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009n584",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz0009n59n","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009n59n-1-master.tif","","","Ms. 5_2","2","Page 2","","","pd","","cus|~|gez","","","","","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Scribblings.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009n59n",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz0009n5b5","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009n5b5-1-master.tif","","","Ms. 5_3","3","Page 3","","","pd","","cus|~|gez","","","","","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Scribblings.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009n5b5",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz0009n5cp","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009n5cp-1-master.tif","","","Ms. 5_4","4","Page 4","","","pd","","cus|~|gez","","","","","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009n5cp",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz0009n5d6","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009n5d6-1-master.tif","","","Ms. 5_5","5","Page 5","","","pd","","cus|~|gez","","","","","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009n5d6",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz0009n5fq","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009n5fq-1-master.tif","","","Ms. 5_6","6","Page 6","","","pd","","cus|~|gez","","","","","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009n5fq",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz0009n5g7","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009n5g7-1-master.tif","","","Ms. 5_7","7","Page 7","","","pd","","cus|~|gez","","Prayers of the Beta Israel (previously known as the Falasha)|~|Felasha prayer|~|Ethiopian Jew prayers|~|ይትባረክ እግዚአብሔር እምላከ እስራኤል","Blessed Be the Lord God of Israel …","Prayers of the Beta Israel","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Me'eraf 1 ይትባረክ፡ እግዚአብሔር፡ አምላክ፡ እስራኤል፡ አምላክ፡ ለኲሉ፡ ዘሥጋ፡ ወዝንቱ፡ ውእቱ፡ ስምየ፡ መሐሪ፡ ስሙ፡ ዘለዓለም፡ ወዝክርየኒ፡ ለትውልደ፡ ትውልድ ...","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009n5g7",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz001dwnjs","Page","Masters/dlmasters/ethiopian/masters/21198-zz001dwnjs_1265057_master.tif","","","Ms. 5_8","8","Page 8","","","pd","","cus|~|gez","","Prayers of the Beta Israel (previously known as the Falasha)|~|Felasha prayer|~|Ethiopian Jew prayers|~|ይትባረክ እግዚአብሔር እምላከ እስራኤል","Blessed Be the Lord God of Israel …","Prayers of the Beta Israel","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Me'eraf 1 ይትባረክ፡ እግዚአብሔር፡ አምላክ፡ እስራኤል፡ አምላክ፡ ለኲሉ፡ ዘሥጋ፡ ወዝንቱ፡ ውእቱ፡ ስምየ፡ መሐሪ፡ ስሙ፡ ዘለዓለም፡ ወዝክርየኒ፡ ለትውልደ፡ ትውልድ ...","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwnjs",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz001dwnk9","Page","Masters/dlmasters/ethiopian/masters/21198-zz001dwnk9_1265064_master.tif","","","Ms. 5_9","9","Page 9","","","pd","","cus|~|gez","","Prayers of the Beta Israel (previously known as the Falasha)|~|Felasha prayer|~|Ethiopian Jew prayers|~|ይትባረክ እግዚአብሔር እምላከ እስራኤል","Blessed Be the Lord God of Israel …","Prayers of the Beta Israel","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Me'eraf 1 ይትባረክ፡ እግዚአብሔር፡ አምላክ፡ እስራኤል፡ አምላክ፡ ለኲሉ፡ ዘሥጋ፡ ወዝንቱ፡ ውእቱ፡ ስምየ፡ መሐሪ፡ ስሙ፡ ዘለዓለም፡ ወዝክርየኒ፡ ለትውልደ፡ ትውልድ ...","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwnk9",""
"Ethiopic Manuscripts","ark:/21198/zz0009n57m","ark:/21198/zz001dwnmt","Page","Masters/dlmasters/ethiopian/masters/21198-zz001dwnmt_1265068_master.tif","","","Ms. 5_10","10","Page 10","","","pd","","cus|~|gez","","Prayers of the Beta Israel (previously known as the Falasha)|~|Felasha prayer|~|Ethiopian Jew prayers|~|ይትባረክ እግዚአብሔር እምላከ እስራኤል","Blessed Be the Lord God of Israel …","Prayers of the Beta Israel","Northern Ethiopia","20th c.","1900/1999","1 Page","145 mm x 130 mm","Vellum","","Me'eraf 2እስመ፡ ውእቱ፡ እግዚአብሔር፡ ይቀሥፎሙ፡ ለዕቡያን፡ ወይሣሃሎሙ፡ ለትኁታነ፡ ልብ፡ እስመ፡ ውእቱ፡ እግዚአብሔር፡ የኃሥሮሙ፡ ለኃያላን፡ ወይሣሃሎሙ፡ ለትሁታነ፡ ልብ ...|~|Me'eraf 1 ይትባረክ፡ እግዚአብሔር፡ አምላክ፡ እስራኤል፡ አምላክ፡ ለኲሉ፡ ዘሥጋ፡ ወዝንቱ፡ ውእቱ፡ ስምየ፡ መሐሪ፡ ስሙ፡ ዘለዓለም፡ ወዝክርየኒ፡ ለትውልደ፡ ትውልድ ...","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwnmt",""
