Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nr9v,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nr9v-1-master.tif,Ms. 27_1,1,Page 1,,,pd,,amh|~|gez,,,,,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Scribbling.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nr9v
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrbc,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrbc-1-master.tif,Ms. 27_2,2,Page 2 [Blank],,,pd,,,,,,,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Page appears blank with exception of a few characters.,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrbc
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrcw,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrcw-1-master.tif,Ms. 27_3,3,Page 3,,,pd,,amh|~|gez,,ትርጓሜ ወንጌል|~|አንድምታ ትርጓሜ,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrcw
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrdd,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrdd-1-master.tif,Ms. 27_4,4,Page 4,,,pd,,amh|~|gez,,,,,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrdd
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrfx,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrfx-1-master.tif,Ms. 27_5,5,Page 5,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ|~|ትርጓሜ ወንጌል,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrfx
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrgf,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrgf-1-master.tif,Ms. 27_6,6,Page 6,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ,Commentary on the Gospel|~|ትርጓሜ ወንጌል,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrgf
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrhz,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrhz-1-master.tif,Ms. 27_7,7,Page 7,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ|~|ትርጓሜ ወንጌል,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrhz
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrjg,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrjg-1-master.tif,Ms. 27_8,8,Page 8,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ|~|ትርጓሜ ወንጌል,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrjg
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrk0,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrk0-1-master.tif,Ms. 27_9,9,Page 9,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ|~|ትርጓሜ ወንጌል,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrk0
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrmh,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrmh-1-master.tif,Ms. 27_10,10,Page 10,,,pd,,amh|~|gez,,ትርጓሜ ወንጌል|~|አንድምታ ትርጓሜ,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrmh
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrn1,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrn1-1-master.tif,Ms. 27_11,11,Page 11,,,pd,,amh|~|gez,,ትርጓሜ ወንጌል|~|አንድምታ ትርጓሜ,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrn1
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrpj,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrpj-1-master.tif,Ms. 27_12,12,Page 12,,,pd,,amh|~|gez,,ትርጓሜ ወንጌል|~|አንድምታ ትርጓሜ,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrpj
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrq2,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrq2-1-master.tif,Ms. 27_13,13,Page 13,,,pd,,amh|~|gez,,ትርጓሜ ወንጌል|~|አንድምታ ትርጓሜ,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrq2
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrrk,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrrk-1-master.tif,Ms. 27_14,14,Page 14,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ|~|ትርጓሜ ወንጌል,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrrk
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrs3,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrs3-1-master.tif,Ms. 27_15,15,Page 15,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ|~|ትርጓሜ ወንጌል,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrs3
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrtm,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrtm-1-master.tif,Ms. 27_16,16,Page 16,,,pd,,amh|~|gez,,ትርጓሜ ወንጌል|~|አንድምታ ትርጓሜ,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrtm
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrv4,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrv4-1-master.tif,Ms. 27_17,17,Page 17,,,pd,,amh|~|gez,,አንድምታ ትርጓሜ|~|ትርጓሜ ወንጌል,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrv4
Ethiopic Manuscripts,ark:/21198/zz0009nr7t,ark:/21198/zz0009nrwn,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009nrwn-1-master.tif,Ms. 27_18,18,Page 18,,,pd,,amh|~|gez,,ትርጓሜ ወንጌል|~|አንድምታ ትርጓሜ,Commentary on the Gospel,Commentary,Ethiopia,19th c.,1800/1899,1 Page,230 mm x 168 mm,Vellum and paper,,Commentary on Gospel of Matthew ትርጓሜ ወንጌለ ማቴዎስ ; በስመ አብ ወወልድ ንዌጥን በረድኤተ እግዚአብሔር ወበስነ ሠርሆ ጽሒፈ ትርጓሜ ዘ ፬ ወንጌላት ዘአስተጋብእዎ ሊቃውንት ወ፩ እምኔሆሙ ብስራተ ማቴዎስ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009nrwn
