"Project Name","Parent ARK","Item ARK","Object Type","File Name","viewingHint","Text direction","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kp90","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kp90-1-master.tif","","","Ms. 2_1","1","Page 1","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95mm","Vellum","r","Arede'et አርድዕት|~|Of Monday  ዘሰኑይ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kp90",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpbh","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpbh-1-master.tif","","","Ms. 2_2","2","Page 2","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140mm x 95mm","Vellum","v","Of Monday  ዘሰኑይ|~|Arede'et አርድዕት","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpbh",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpc1","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpc1-1-master.tif","","","Ms. 2_3","3","Page 3","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","r","Of Monday  ዘሰኑይ|~|Arede'et አርድዕት","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpc1",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpdj","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpdj-1-master.tif","","","Ms. 2_4","4","Page 4","text","","pd","","gez","","Book of Disciples|~|አርድዕት፤|~|Mesehafa Arede'et","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","v","Of Monday  ዘሰኑይ|~|Arede'et አርድዕት","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpdj",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpf2","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpf2-1-master.tif","","","Ms. 2_5","5","Page 5","text","","pd","","gez","","Book of Disciples|~|አርድዕት፤|~|Mesehafa Arede'et","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","r","Of Monday  ዘሰኑይ|~|Arede'et አርድዕት","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpf2",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpgk","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpgk-1-master.tif","","","Ms. 2_6","6","Page 6","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","v","Arede'et አርድዕት|~|Of Monday  ዘሰኑይ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpgk",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kph3","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kph3-1-master.tif","","","Ms. 2_7","7","Page 7","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","r","Arede'et አርድዕት|~|Of Monday  ዘሰኑይ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kph3",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpjm","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpjm-1-master.tif","","","Ms. 2_8","8","Page 8","text","","pd","","gez","","Book of Disciples|~|አርድዕት፤|~|Mesehafa Arede'et","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","v","Arede'et አርድዕት|~|Of Monday  ዘሰኑይ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpjm",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpk4","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpk4-1-master.tif","","","Ms. 2_9","9","Page 9","text","","pd","","gez","","Mesehafa Arede'et|~|አርድዕት፤|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","r","Arede'et አርድዕት|~|Of Tuesday ዘሠሉስ|~|Of Monday  ዘሰኑይ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpk4",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpmn","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpmn-1-master.tif","","","Ms. 2_10","10","Page 10","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","v","Arede'et አርድዕት|~|Of Tuesday ዘሠሉስ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpmn",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpn5","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpn5-1-master.tif","","","Ms. 2_11","11","Page 11","text","","pd","","gez","","Book of Disciples|~|አርድዕት፤|~|Mesehafa Arede'et","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","r","Arede'et አርድዕት|~|Of Tuesday ዘሠሉስ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpn5",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kppp","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kppp-1-master.tif","","","Ms. 2_12","12","Page 12","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","v","Arede'et አርድዕት|~|Of Tuesday ዘሠሉስ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kppp",""
"Ethiopic Manuscripts","ark:/21198/zz0009kp6f","ark:/21198/zz0009kpq6","Page","Masters/dlmasters/ethiopian/masters/21198-zz0009kpq6-1-master.tif","","","Ms. 2_13","13","Page 13","text","","pd","","gez","","አርድዕት፤|~|Mesehafa Arede'et|~|Book of Disciples","The Book of Disciples","The Book of Disciples","Ethiopia","18th-19th c.","1700/1899","1 Page","140 mm x 95 mm","Vellum","r","Arede'et አርድዕት|~|Of Tuesday ዘሠሉስ","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kpq6",""
