Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q97f,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q97f-1-master.tif,Ms. 9_blank1,1,Blank Page,,,pd,,,,,,,,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q97f
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q98z,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q98z-1-master.tif,Ms. 9_blank2,2,Blank Page,,,pd,,,,,,,,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q98z
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q99g,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q99g-1-master.tif,Ms. 9_blank3,3,Blank Page,,,pd,,,,,,,,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q99g
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9b0,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9b0-1-master.tif,Ms. 9_blank4,4,Blank Page,,,pd,,,,,,,,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9b0
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9ch,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9ch-1-master.tif,Ms. 9_1,5,Page 1,,,pd,,amh|~|gez,,Introductory Rite of Almuqqā|~|መቅድመ ተአምረ ማርያም ትርጓሜ,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,Commentary (first line of text): በስመ ፡አብ ፡ወወልድ፡ ወመንፈስ ፡ቅዱስ፡ ፩፡ አምላክ … ማለት፡ በቅድስት፡ መሥሪነታቸው፡  በሚባልና፡ በቅዱስ፡ሥራቸው፡ ፫፡ አለ፡ ፩፡ ህልውና፡  ፩፡ ግብር፡ ፩፡ ባህርይ፡ ሁነው፡ አነ፡ ውእቱ፡ አነ፡ በሚሉ ፡አብ ፡በወልድ ፡በመንፈስ፡ ቅዱስ፡ ሳልጠራጠር፡ አምኜ ፡ሰይጣንን፡ እክዳለሁ፡,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9ch
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9d1,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9d1-1-master.tif,Ms. 9_2,6,Page 2,,,pd,,amh|~|gez,,መቅድመ ተአምረ ማርያም ትርጓሜ|~|Introductory Rite of Almuqqā,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9d1
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9fj,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9fj-1-master.tif,Ms. 9_3,7,Page 3,,,pd,,amh|~|gez,,መቅድመ ተአምረ ማርያም ትርጓሜ|~|Introductory Rite of Almuqqā,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9fj
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9g2,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9g2-1-master.tif,Ms. 9_4,8,Page 4,,,pd,,amh|~|gez,,መቅድመ ተአምረ ማርያም ትርጓሜ|~|Introductory Rite of Almuqqā,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9g2
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9hk,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9hk-1-master.tif,Ms. 9_5,9,Page 5,,,pd,,amh|~|gez,,መቅድመ ተአምረ ማርያም ትርጓሜ|~|Introductory Rite of Almuqqā,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9hk
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9j3,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9j3-1-master.tif,Ms. 9_6,10,Page 6,,,pd,,amh|~|gez,,Introductory Rite of Almuqqā|~|መቅድመ ተአምረ ማርያም ትርጓሜ,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9j3
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9km,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9km-1-master.tif,Ms. 9_7,11,Page 7,,,pd,,amh|~|gez,,Introductory Rite of Almuqqā|~|መቅድመ ተአምረ ማርያም ትርጓሜ,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9km
Ethiopic Manuscripts,ark:/21198/zz0009q94w,ark:/21198/zz0009q9m4,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz0009q9m4-1-master.tif,Ms. 9_8,12,Page 8,,,pd,,amh|~|gez,,Introductory Rite of Almuqqā|~|መቅድመ ተአምረ ማርያም ትርጓሜ,Commentary on the Introductory Rite of Almuqqā of the Miracle of Mary,Te'amera Mareyam,Ethiopia,20th c.,1900/1999,1 Page,100 mm x 70 mm,Vellum,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009q9m4
