Project Name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Language,Title,Relation.rectoVerso,Description.abstract,Opac url,IIIF Access URL,IIIF Manifest URL
Society for Psychophysiological Research Records (Collection 1194),,ark:/21198/zz001nf7r5,2,Completed,Collection,,,,,,,,,text,eng,Society for Psychophysiological Research Records,,"The Society for Psychophysiological Research was created to foster research related to physiology and psychology. The collection consists of correspondence, minutes, programs, publications, slides, and miscellaneous printed materials related to the Society for Psychophysiological Research.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2976950,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001nf7r5
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngc68,2,Completed,Work,,,,,paged,,,,,,"Volume 1, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngc7s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngc68/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngd78,2,Completed,Work,,,,,paged,,,,,,"Volume 1, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngd8s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngd78/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngf7r,2,Completed,Work,,,,,paged,,,,,,"Volume 2, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngf88,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngf7r/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001nggfb,2,Completed,Work,,,,,paged,,,,,,"Volume 2, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngggv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nggfb/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001nghft,2,Completed,Work,,,,,paged,,,,,,"Volume 2, Number 3",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nghgb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nghft/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngj8q,2,Completed,Work,,,,,paged,,,,,,"Volume 3, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngj97,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngj8q/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngk23,2,Completed,Work,,,,,paged,,,,,,"Volume 3, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngk3m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngk23/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngm12,2,Completed,Work,,,,,paged,,,,,,"Volume 4, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngm2k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngm12/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngn5m,2,Completed,Work,,,,,paged,,,,,,"Volume 4, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngn64,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngn5m/manifest
