Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject,Name.author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Alt ID.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Description.abstract,Bucketeer State,IIIF Access URL
St Gall Manuscripts,ark:/21198/zz0026gtzx,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00021.tif,22,,,,,,,,,,,,,,,,,,f. 10r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv1f,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00023.tif,24,,,,,,,,,,,,,,,,,,f. 11r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv2z,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00024.tif,25,,,,,,,,,,,,,,,,,,f. 11v,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv3g,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00025.tif,26,,,,,,,,,,,,,,,,,,f. 12r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv40,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00026.tif,27,,,,,,,,,,,,,,,,,,f. 12v,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv5h,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00027.tif,28,,,,,,,,,,,,,,,,,,f. 13r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv61,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00028.tif,29,,,,,,,,,,,,,,,,,,f. 13v,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv7j,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00029.tif,30,,,,,,,,,,,,,,,,,,f. 14r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv82,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00030.tif,31,,,,,,,,,,,,,,,,,,f. 14v,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gv9k,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00031.tif,32,,,,,,,,,,,,,,,,,,f. 15r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gvb3,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00032.tif,33,,,,,,,,,,,,,,,,,,f. 15v,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gvcm,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00033.tif,34,,,,,,,,,,,,,,,,,,f. 16r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gvd4,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00034.tif,35,,,,,,,,,,,,,,,,,,f. 16v,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gvfn,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00035.tif,36,,,,,,,,,,,,,,,,,,f. 17r,,,,,,,,,,,,failed,
St Gall Manuscripts,ark:/21198/zz0026gvg5,ark:/21198/zz0026gt6j,2,Completed,Page,StGall/masters/ms_131/srgb/mss_litt_131_00036.tif,37,,,,,,,,,,,,,,,,,,f. 17v,,,,,,,,,,,,failed,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
