"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Rights.copyrightStatus","Type.typeOfResource","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_001.tif","Page","Front cover","1","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sw43zc5x","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fsw43zc5x"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_002.tif","Page","Inside front cover","2","ark:/21198/n1fs6z","ark:/21198/n1fs6z/h008p740","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fh008p740"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_003.tif","Page","Flyleaf","3","ark:/21198/n1fs6z","ark:/21198/n1fs6z/hq11sf52","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fhq11sf52"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_004.tif","Page","Page 1","4","ark:/21198/n1fs6z","ark:/21198/n1fs6z/pp08t512","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fpp08t512"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_005.tif","Page","Page 2","5","ark:/21198/n1fs6z","ark:/21198/n1fs6z/r561km34","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fr561km34"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_006.tif","Page","Page 3","6","ark:/21198/n1fs6z","ark:/21198/n1fs6z/m130cp0d","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fm130cp0d"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_007.tif","Page","Page 4","7","ark:/21198/n1fs6z","ark:/21198/n1fs6z/t782tc9s","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Ft782tc9s"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_008.tif","Page","Page 5","8","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sp936f14","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fsp936f14"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_009.tif","Page","Page 6","9","ark:/21198/n1fs6z","ark:/21198/n1fs6z/sm13n143","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fsm13n143"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_010.tif","Page","Page 7","10","ark:/21198/n1fs6z","ark:/21198/n1fs6z/cp48h463","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fcp48h463"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_011.tif","Page","Page 8","11","ark:/21198/n1fs6z","ark:/21198/n1fs6z/nr369p11","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fnr369p11"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_012.tif","Page","Page 9","12","ark:/21198/n1fs6z","ark:/21198/n1fs6z/rr78jz2d","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Frr78jz2d"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_013.tif","Page","Page 10","13","ark:/21198/n1fs6z","ark:/21198/n1fs6z/dx14801w","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fdx14801w"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_014.tif","Page","Page 11","14","ark:/21198/n1fs6z","ark:/21198/n1fs6z/zb31w08j","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fzb31w08j"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_015.tif","Page","Page 12","15","ark:/21198/n1fs6z","ark:/21198/n1fs6z/zq12hq98","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fzq12hq98"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_016.tif","Page","Page 13","16","ark:/21198/n1fs6z","ark:/21198/n1fs6z/5c072v0v","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2F5c072v0v"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_017.tif","Page","Page 14","17","ark:/21198/n1fs6z","ark:/21198/n1fs6z/rf63pv27","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Frf63pv27"
"Masters/othermasters/dl_plante/uclalsc_bioms111_b01/uclasc_bioms111_b01_018.tif","Page","Page 15","18","ark:/21198/n1fs6z","ark:/21198/n1fs6z/z361dk5q","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1fs6z%2Fz361dk5q"
