File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Rights.copyrightStatus,Type.typeOfResource
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_065.tif,Page,Page 62,65,ark:/21198/n16c9s,ark:/21198/n16c9s/mj077489,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_066.tif,Page,Page 63,66,ark:/21198/n16c9s,ark:/21198/n16c9s/d897h94r,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_067.tif,Page,Page 64,67,ark:/21198/n16c9s,ark:/21198/n16c9s/m711kv17,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_068.tif,Page,Page 65,68,ark:/21198/n16c9s,ark:/21198/n16c9s/xd728m4x,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_069.tif,Page,Page 66,69,ark:/21198/n16c9s,ark:/21198/n16c9s/rm86614r,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_070.tif,Page,Page 67,70,ark:/21198/n16c9s,ark:/21198/n16c9s/3b275784,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_071.tif,Page,Page 68,71,ark:/21198/n16c9s,ark:/21198/n16c9s/8631pt28,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_072.tif,Page,Page 69,72,ark:/21198/n16c9s,ark:/21198/n16c9s/w003vg8b,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_073.tif,Page,Page 70,73,ark:/21198/n16c9s,ark:/21198/n16c9s/rq097d25,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_074.tif,Page,Page 71,74,ark:/21198/n16c9s,ark:/21198/n16c9s/wn43n21p,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_075.tif,Page,Page 72,75,ark:/21198/n16c9s,ark:/21198/n16c9s/52378t9n,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_076.tif,Page,Flyleaf,76,ark:/21198/n16c9s,ark:/21198/n16c9s/wx54dh33,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_077.tif,Page,Inside back cover,77,ark:/21198/n16c9s,ark:/21198/n16c9s/6x65h169,,
Masters/othermasters/dl_plante/uclalsc_bioms111_b03/uclalsc_bioms111_b03_078.tif,Page,Back cover,78,ark:/21198/n16c9s,ark:/21198/n16c9s/h671nv97,,
