"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_022.tif","22","","Page 20","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/b6006w3s","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fb6006w3s"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_023.tif","23","","Page 21","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/s771nv2w","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fs771nv2w"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_024.tif","24","","Page 22","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/wc64p29k","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fwc64p29k"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_025.tif","25","","Page 23","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/ck25d84d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fck25d84d"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_026.tif","26","","Page 24","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/bd72978m","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fbd72978m"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_027.tif","27","","Page 25","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/pv76649b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fpv76649b"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_028.tif","28","","Page 26","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/sm345887","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fsm345887"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_029.tif","29","","Page 27","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/6322kf8x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2F6322kf8x"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_030.tif","30","","Page 28","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/wk08jp29","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fwk08jp29"
"Masters/othermasters/dl_toganoo/masters/3061497/ucla_3061497_031.tif","31","","Page 29","","","","ark:/21198/n1r90n","ark:/21198/n1r90n/s443cg78","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1r90n%2Fs443cg78"
