Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,Relation.pageNumber,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz0009gxc2,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz0009gxc2-1-master.tif,2,,,,,,,,,pd,,,,,MS 1 front cover pastedown,r,,,,,,,,,,,,,,,,,21198-zz0009gxc2-1-thumbnail.jpg,21198-zz0009gxc2-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009gxc2
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mbr,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mbr-1-master.tif,3,,,,,,,,,pd,,,,,MS 1 folio 1,v,,,,,,,,,,,,,,,,,21198-zz000s9mbr-1-thumbnail.jpg,21198-zz000s9mbr-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mbr
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mc8,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mc8-1-master.tif,4,,,,,,,,,pd,,,,,MS 1 folio 1v,r,,,,,,,,,,,,,,,,,21198-zz000s9mc8-1-thumbnail.jpg,21198-zz000s9mc8-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mc8
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mds,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mds-1-master.tif,5,,,,,,,,,pd,,,,,MS 1 folio 2,v,,,,,,,,,,,,,,,,,21198-zz000s9mds-1-thumbnail.jpg,21198-zz000s9mds-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mds
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mf9,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mf9-1-master.tif,6,,,,,,,,,pd,,,,,MS 1 folio 2v,r,,,,,,,,,,,,,,,,,21198-zz000s9mf9-1-thumbnail.jpg,21198-zz000s9mf9-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mf9
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mgt,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mgt-1-master.tif,7,,,,,,,,,pd,,,,,MS 1 folio 3,v,,,,,,,,,,,,,,,,,21198-zz000s9mgt-1-thumbnail.jpg,21198-zz000s9mgt-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mgt
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mhb,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mhb-1-master.tif,8,,,,,,,,,pd,,,,,MS 1 folio 3v,r,,,,,,,,,,,,,,,,,21198-zz000s9mhb-1-thumbnail.jpg,21198-zz000s9mhb-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mhb
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mjv,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mjv-1-master.tif,9,,,,,,,,,pd,,,,,MS 1 folio 4,v,,,,,,,,,,,,,,,,,21198-zz000s9mjv-1-thumbnail.jpg,21198-zz000s9mjv-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mjv
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mkc,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mkc-1-master.tif,10,,,,,,,,,pd,,,,,MS 1 folio 4v,r,,,,,,,,,,,,,,,,,21198-zz000s9mkc-1-thumbnail.jpg,21198-zz000s9mkc-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mkc
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9mmw,ark:/21198/zz0009gxbj,2,Completed,Page,medren/masters/21198-zz000s9mmw-1-master.tif,11,,,,,,,,,pd,,,,,MS 1 folio 5,v,,,,,,,,,,,,,,,,,21198-zz000s9mmw-1-thumbnail.jpg,21198-zz000s9mmw-1-master.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9mmw
