"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.subject","Author","Name.creator","Name.recipient","Name.correspondent","Name.repository","AltIdentifier.local","Title","Date.creation","Date.normalized","Format.extent","Description.note","Language.text","Description.abstract","IIIF Manifest URL"
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009c6r8","","2","Completed","Collection","","1","","","","","","","","","","","","","","Brotherton Library. Special Collections","","Marshall and Co., Leeds, Papers","1788 - ca. 1900","1788/1905","","Physical collection is held by University of Leeds, Library, Department of Special Collections, MS 200.|~|Marshall, Fenton & Co was founded in 1788 by John Marshall (1765 1845), son of a Leeds draper, to take advantage of recent developments in the spinning of flax by machine. He set up a short-lived partnership with Samuel Fenton and Ralph Dearlove who were subsequently replaced by Thomas and Benjamin Benyon, Shrewsbury woollen merchants. By 1795, the latter had a controlling interest, and built a mill at Shrewsbury for making thread. Marshall grew dissatisfied with his minority holding, and in 1804 bought the pair out. He appointed two men from the works as junior partners, John Hives and William Hutton, who were later joined by a third, Moses Atkinson.The business prospered as a result of experiment, trade conditions in the Napoleonic wars, John Marshall's commercial ability and his concentration upon what he wished to achieve. As a consequence, he made a fortune between 1803 and the year of Waterloo. In the latter, 1815, John's son, also named John (1797 1836), entered the firm, becoming a partner five years later. The remaining junior partners withdrew ; Marshall's thus became and would remain a family firm. Marshall's other sons joined the business in the next decade, and he gradually retired from active participation. His son James Garth Marshall (1802 1873) subsequently became the dominant partner in the management of the business.Despite early success, conditions in the trade inevitably changed. Other firms were now producing yarn of the quality that Marshalls had pioneered and monopolised for decades. After 1850, the firm became unprofitable, partly due to the younger Marshalls’ lack of drive or business acumen. By the 1870s, the third generation had little interest in the business, faced by a world-wide recession, falling prices and rising wages. Labour troubles began to affect the firm and by 1884 only two partners, John III (1840 1894) and Stephen (1843 1904), were active in the company. The firm closed in 1886.","","Business papers of Marshall & Co., one of the largest textile firms in 19th-century Leeds, England. A cooperative project with the University of Leeds Library, where the papers are held.","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0009c6r8"
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009cfjj","ark:/21198/zz0009c6r8","2","Completed","Work","","1","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjgf4","individuals","","","","Accounts|~|Account books|~|Inventories","Marshall, Atkinson and Company|~|Marshall & Company, Leeds, Eng. |~|Marshall & Benyons, 1793-1804 |~|Marshall, Fenton and Company |~|Marshall, Hutton and Company |~|Marshall, Hives and Company","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/1","Book 1 John Marshall's Private Ledger","1788-1840","1788/1840","1 Ledger","The ledger contains account details of Marshall Fenton and Co. between 1788 and 1793, Marshall and Benyons in Shrewsbury 1793 to 1806, Marshall and Hives from 1814 to 1830, and Marshall and Hutton (Salop) between 1808 and 1820. The Ledger contains records of the first stock take in 1793. It also contains records of personal accounts.","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009cfjj/manifest"
