"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.subject","Author","Name.creator","Name.recipient","Name.correspondent","Name.repository","AltIdentifier.local","Title","Date.creation","Date.normalized","format.extent","Description.note","Language.text","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrgh","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrgh-1-master.tif","1","","","","","","","","Accounts|~|Account books","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/1","Contents Page","","","1 page","A list of contents of the notebook.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrgh",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrh1","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrh1-1-master.tif","2","","","","","","","","Accounts|~|Account books|~|Wages","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/2","Page 1","1829-1838","1829/1838","1 double page","Account of time worked.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrh1",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrjj","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrjj-1-master.tif","3","","","","","","","","Quarterly Sales|~|Accounts|~|Account books|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/3","Page 32","1801-1830","1801/1830","1 double page","Quarterly sales of yarns.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrjj",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrk2","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrk2-1-master.tif","4","","","","","","","","Quarterly Sales|~|Accounts|~|Account books|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/4","Page 33","1828-1834","1828/1834","1 double page","Quarterly sales of yarns.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrk2",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrmk","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrmk-1-master.tif","5","","","","","","","","Quarterly Sales|~|Accounts|~|Account books|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/5","Page 34","1828-1834","1828/1834","1 double page","Quarterly sales of yarns.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrmk",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrn3","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrn3-1-master.tif","6","","","","","","","","Quarterly Sales|~|Accounts|~|Canvas|~|Account books","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/6","Page 35 and 36","1801-1830","1801/1830","1 double page","The middle page has been removed from these pages. Quarterly sales (of canvas).","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrn3",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrpm","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrpm-1-master.tif","7","","","","","","","","Accounts|~|Sales|~|Account books|~|Thread","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/7","Page 37","1823-1838","1823/1838","1 double page","Bleached and coloured thread sales.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrpm",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrq4","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrq4-1-master.tif","8","","","","","","","","Accounts|~|Sales|~|Account books|~|Thread","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/8","Page 38","1839","1839","1 double page","Bleached and coloured thread sales.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrq4",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrrn","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrrn-1-master.tif","9","","","","","","","","Quarterly Sales|~|Accounts|~|Account books|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/9","Page 39 and 40","1834-1839","1834/1839","1 double page","Quarterly yarn sales.|~|The middle page has been removed from these pages.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrrn",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrs5","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrs5-1-master.tif","10","","","","","","","","Quarterly Sales|~|Accounts|~|Account books|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/10","Page 41","1834-1839","1834/1839","1 double page","Quarterly yarn sales.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrs5",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrtp","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrtp-1-master.tif","11","","","","","","","","Accounts|~|Account books|~|Prices|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/11","Page 42","1812-1829","1812/1829","1 double page","Prices of yarns.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrtp",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrv6","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrv6-1-master.tif","12","","","","","","","","Accounts|~|Account books|~|Prices|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/12","Page 43","1829-1835","1829/1835","1 double page","Prices of line and tow yarns.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrv6",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrwq","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrwq-1-master.tif","13","","","","","","","","Accounts|~|Account books|~|Prices","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/13","Page 44 and 45","1829-1835","1829/1835","1 double page","Prices.|~|The middle page has been removed from these pages.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrwq",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrx7","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrx7-1-master.tif","14","","","","","","","","Accounts|~|Account books|~|Prices|~|Yarn","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/14","Page 46","1834-1839","1834/1839","1 double page","Prices of yarns.","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrx7",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz000bjrzr","ark:/21198/zz0009cfcz","2","Completed","Page","marshall/masters/21198-zz000bjrzr-1-master.tif","15","","","","","","","","Salop, Shrewsbury, Shropshire, England, United Kingdom|~|Accounts|~|Account books|~|Prices|~|America","","","Marshall & Company, Leeds, Eng.","","","","MS 200/1/3/15","Page 47","1824-1839","1824/1839","1 page","The right hand page has been removed. Salop and American...[Prices]","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000bjrzr",""
