"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Name.author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0009gkbq","ark:/21198/zz0009gjmc","2","Completed","Page","boundman170/masters/21198-zz0009gkbq-1-master.tif","1","","","","","","","still image","Illustrations","","","","","","","","","","","","","","Diceman [ill]","clus_MS_170/351_001","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009gkbq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0009mg1d","ark:/21198/zz0009gjmc","2","Completed","Page","boundman170/masters/21198-zz0009mg1d-1-master.tif","2","","","","","","","still image","Illustrations","","","","","","","","","","","","","","Figure in Suns and Moons garb [ill]","clus_MS_170/351_002","1200 dpi","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mg1d",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0009mg2x","ark:/21198/zz0009gjmc","2","Completed","Page","boundman170/masters/21198-zz0009mg2x-1-master.tif","3","","","","","","","still image","Illustrations","","","","","","","","","","","","","","Anno 1504 and figure in gold/yellow and blue garb [double page] [ill]","clus_MS_170/351_003","1200 dpi.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mg2x",""
