"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8j0","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8j0_2408497_master.tif","1","","","","","","","","","","","","","","","","","","","","","","front cover","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8j0",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8kh","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8kh_2408500_master.tif","2","","","","","","","","","","","","","","","","","","","","","","inside front cover","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8kh",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8m1","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8m1_2408503_master.tif","3","","","","","","","","","","","","","","","","","","","","r","","page 1","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8m1",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8nj","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8nj_2408506_master.tif","4","","","","","","","","","","","","","","","","","","","","v","","page 2","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8nj",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8p2","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8p2_2408509_master.tif","5","","","","","","","","","","","","","","","","","","","","r","","page 3","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8p2",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8qk","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8qk_2408512_master.tif","6","","","","","","","","","","","","","","","","","","","","v","","page 4","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8qk",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8r3","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8r3_2408515_master.tif","7","","","","","","","","","","","","","","","","","","","","r","","page 5","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8r3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8sm","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8sm_2408518_master.tif","8","","","","","","","","","","","","","","","","","","","","v","","page 6","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8sm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8t4","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8t4_2408521_master.tif","9","","","","","","","","","","","","","","","","","","","","r","","page 7","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8t4",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh8vn","ark:/21198/zz002kh0vs","2","Completed","Page","boundman170/masters/21198-zz002kh8vn_2408524_master.tif","10","","","","","","","","","","","","","","","","","","","","v","","page 8","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh8vn",""
