"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152299","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152299-1-master.tif","1","","","","","","","text","","","","","","","","","","","","","","","front cover","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152299",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001522bt","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001522bt-1-master.tif","2","","","","","","","text","","","","","","","","","","","","","","","front cover inside","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001522bt",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001522cb","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001522cb-1-master.tif","3","","","","","","","text","","","","","","","","","","","","","","","page 1","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001522cb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001522dv","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001522dv-1-master.tif","4","","","","","","","text","","","","","","","","","","","","","","","page 2","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001522dv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001522fc","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001522fc-1-master.tif","5","","","","","","","text","","","","","","","","","","","","","","","page 3","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001522fc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001522gw","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001522gw-1-master.tif","6","","","","","","","text","","","","","","","","","","","","","","","page 4","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001522gw",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001523wk","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001523wk-1-master.tif","7","","","","","","","text","","","","","","","","","","","","","","","page 5","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001523wk",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001523x3","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001523x3-1-master.tif","8","","","","","","","text","","","","","","","","","","","","","","","page 6","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001523x3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001523zm","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001523zm-1-master.tif","9","","","","","","","text","","","","","","","","","","","","","","","page 7","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001523zm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0015240m","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz0015240m-1-master.tif","10","","","","","","","text","","","","","","","","","","","","","","","page 8","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015240m",""
