"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1gk","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1gk_2407865_master.tif","1","","","","","","","","","","","","","","","","","","","","","","front cover","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1gk",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1h3","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1h3_2407868_master.tif","2","","","","","","","","","","","","","","","","","","","","","","inside front cover","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1h3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1jm","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1jm_2407871_master.tif","3","","","","","","","","","","","","","","","","","","","","","","title page","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1jm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1k4","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1k4_2407862_master.tif","4","","","","","","","","","","","","","","","","","","","","v","","page 1 verso","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1k4",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1mn","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1mn_2407874_master.tif","5","","","","","","","","","","","","","","","","","","","","r","","page 1 recto","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1mn",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1n5","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1n5_2407877_master.tif","6","","","","","","","","","","","","","","","","","","","","v","","page 2 verso","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1n5",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1pp","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1pp_2407880_master.tif","7","","","","","","","","","","","","","","","","","","","","r","","page 2 recto","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1pp",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1q6","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1q6_2407885_master.tif","8","","","","","","","","","","","","","","","","","","","","v","","page 3 verso","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1q6",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1rq","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1rq_2407890_master.tif","9","","","","","","","","","","","","","","","","","","","","r","","page 3 recto","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1rq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz002kh1s7","ark:/21198/zz002kh0t8","2","Completed","Page","boundman170/masters/21198-zz002kh1s7_2407893_master.tif","10","","","","","","","","","","","","","","","","","","","","v","","page 4 verso","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kh1s7",""
