"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019rtb2","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019rtb2_738551_master.tif","1","","","","","","","text","","","","","","","","","","","","","","","title page","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019rtb2",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s24s","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s24s_738563_master.tif","2","","","","","","","text","","","","","","","","","","","","","","","page 99","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s24s",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s26t","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s26t_738572_master.tif","3","","","","","","","text","","","","","","","","","","","","","","","page 100","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s26t",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s2kh","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s2kh_738583_master.tif","4","","","","","","","text","","","","","","","","","","","","","","","page 101","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s2kh",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s39v","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s39v_738590_master.tif","5","","","","","","","text","","","","","","","","","","","","","","","page 102","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s39v",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3bc","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3bc_738602_master.tif","6","","","","","","","text","","","","","","","","","","","","","","","page 102A","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3bc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3cw","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3cw_738612_master.tif","7","","","","","","","text","","","","","","","","","","","","","","","page 103","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3cw",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3dd","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3dd_738624_master.tif","8","","","","","","","text","","","","","","","","","","","","","","","page 104","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3dd",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3fx","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3fx_738635_master.tif","9","","","","","","","text","","","","","","","","","","","","","","","page 105","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3fx",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3gf","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3gf_738651_master.tif","10","","","","","","","text","","","","","","","","","","","","","","","page 106","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3gf",""
