"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Name.author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsrnf","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsrnf_780047_master.tif","2","","","","","","","","","","","","","","","","","","","","","","map 1","","","Official copy of hand-written map measuring 47.2 x 45.7 cm.  Includes the official seal and signature of Sherman Day, the U.S. Surveyor General California:  ""I hereby certify this to be a full true and correct copy of the plat on file in this office. U.S. Surv'r. Gen'l's Office San Francisco, Calif. Nov. 5th 1869""|~|""The field notes of the ""Rancho San José de Buenos Ayres"", and from which this plat has been made out, have been examined and approved, and are on file in this office U.S. Surveyor General's Office.  San Francisco, California.  July 2nd 1859 Signed F.W. Mandeville, U.S. Surv. Genl. Cala","","","Plat map of Rancho San José de Buenos Ayres, finally confirmed to Benjamin D. Wilson, surveyed under instructions from the U.S. Surveyor General by Henry Hancock, Dep. Sur. September 1858.","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsrnf",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsrpz","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsrpz_780069_master.tif","4","","","","","","","","","","","","","","","","","","","","","","report page 2","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsrpz",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsrqg","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsrqg_780055_master.tif","3","","","","","","","","","","","","","","","","","","","","","","report page 1","","","","","","Report on abstract of title to the Rancho San Jose de Buenos Ayres","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsrqg",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsrr0","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsrr0_780040_master.tif","1","","","","","","","","","","","","","","","","","","","","","","front cover","","","On spine:  John Wolfskill.","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsrr0",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsrsh","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsrsh_780090_master.tif","5","","","","","","","","","","","","","","","","","","","","","","report page 3","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsrsh",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dstxj","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dstxj_780433_master.tif","7","","","","","","","","","","","","","","","","","","","","","","report page 5","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dstxj",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dstz2","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dstz2_780430_master.tif","6","","","","","","","","","","","","","","","","","","","","","","report page 4","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dstz2",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsv1k","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsv1k_780436_master.tif","8","","","","","","","","","","","","","","","","","","","","","","report page 6","","","Signed:  Glassell, Smith, Patten, attorneys","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsv1k",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsx43","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsx43_780451_master.tif","12","","","","","","","","","","","","","","","","","","","","","","page 5","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsx43",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dsx5m","ark:/21198/zz001dsqkx","2","Completed","Page","boundman170/masters/21198-zz001dsx5m_780448_master.tif","11","","","","","","","","","","","","","","","","","","","","","","page 4","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dsx5m",""
