"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6m7p","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6m7p_769851_master.tif","86","","","","","","","","","","","","","","","","","","","","","","Page 85","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6m7p",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6mjb","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6mjb_769864_master.tif","87","","","","","","","","","","","","","","","","","","","","","","Page 87","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6mjb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6mkv","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6mkv_769902_master.tif","89","","","","","","","","","","","","","","","","","","","","","","Page 89","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6mkv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6pb6","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6pb6_769906_master.tif","90","","","","","","","","","","","","","","","","","","","","","","Page 90","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6pb6",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6pj9","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6pj9_769925_master.tif","91","","","","","","","","","","","","","","","","","","","","","","Page 91","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6pj9",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6pkt","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6pkt_769931_master.tif","92","","","","","","","","","","","","","","","","","","","","","","Page 92","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6pkt",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6v93","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6v93_770450_master.tif","93","","","","","","","","","","","","","","","","","","","","","","Page 93","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6v93",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6vf5","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6vf5_770496_master.tif","94","","","","","","","","","","","","","","","","","","","","","","Page 94","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6vf5",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6vgp","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6vgp_770528_master.tif","95","","","","","","","","","","","","","","","","","","","","","","Page 95","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6vgp",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d6zss","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d6zss_770573_master.tif","97","","","","","","","","","","","","","","","","","","","","","","Page 97","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6zss",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d70fj","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d70fj_770586_master.tif","98","","","","","","","","","","","","","","","","","","","","","","Page 98","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d70fj",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d74g0","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d74g0_770599_master.tif","99","","","","","","","","","","","","","","","","","","","","","","Page 99","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d74g0",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d74j1","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d74j1_770628_master.tif","100","","","","","","","","","","","","","","","","","","","","","","Page 100","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d74j1",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d75zq","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d75zq_770663_master.tif","101","","","","","","","","","","","","","","","","","","","","","","Page 101","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d75zq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d77tm","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d77tm_770839_master.tif","102","","","","","","","","","","","","","","","","","","","","","","Page 102","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d77tm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d7816","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d7816_770885_master.tif","103","","","","","","","","","","","","","","","","","","","","","","Page 103","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7816",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d782q","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d782q_770900_master.tif","105","","","","","","","","","","","","","","","","","","","","","","Page 105","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d782q",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001d7837","ark:/21198/zz001d6g9s","2","Completed","Page","boundman170/masters/21198-zz001d7837_770934_master.tif","106","","","","","","","","","","","","","","","","","","","","","","Page 106","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7837",""
