"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5gj","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5gj_782016_master.tif","1","","","","","","","","","","","","","","","","","","","","","","front cover","","","","","","Abstract of title to Rancho San Jose de Buenos Ayres.  Belongs to Los Angeles and Santa Monica Land and Water Co.; John Wolfskill Estate, E. E. Hall, Secty","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5gj",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5h2","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5h2_782017_master.tif","2","","","","","","","","","","","","","","","","","","","","","","page 1","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5h2",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5jk","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5jk_782022_master.tif","3","","","","","","","","","","","","","","","","","","","","","","page 3","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5jk",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5k3","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5k3_782025_master.tif","4","","","","","","","","","","","","","","","","","","","","","","page 4","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5k3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5mm","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5mm_782028_master.tif","5","","","","","","","","","","","","","","","","","","","","","","page 5","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5mm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5n4","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5n4_782031_master.tif","6","","","","","","","","","","","","","","","","","","","","","","page 6","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5n4",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5pn","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5pn_782034_master.tif","7","","","","","","","","","","","","","","","","","","","","","","page 7","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5pn",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5q5","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5q5_782037_master.tif","8","","","","","","","","","","","","","","","","","","","","","","page 8","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5q5",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5rp","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5rp_782040_master.tif","9","","","","","","","","","","","","","","","","","","","","","","page 9","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5rp",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5s6","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5s6_782043_master.tif","10","","","","","","","","","","","","","","","","","","","","","","page 10","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5s6",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5tq","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5tq_782046_master.tif","11","","","","","","","","","","","","","","","","","","","","","","page 11","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5tq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001dv5v7","ark:/21198/zz001dv5f1","2","Completed","Page","boundman170/masters/21198-zz001dv5v7_782049_master.tif","12","","","","","","","","","","","","","","","","","","","","","","page 12","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dv5v7",""
