"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sachtleben (William Lewis) Papers. Collection 1922","ark:/21198/zz002hk4m5","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_001.tif","1","text","[Turkey travel diary: page 1, Apr. 12, 1891]","1841_diary_10_001","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4m5",""
"Sachtleben (William Lewis) Papers. Collection 1923","ark:/21198/zz002hk4np","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_002.tif","2","text","[Turkey travel diary: page 2, Apr. 12, 1891]","1841_diary_10_002","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4np",""
"Sachtleben (William Lewis) Papers. Collection 1924","ark:/21198/zz002hk4p6","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_003.tif","3","text","[Turkey travel diary: page 3, Apr. 12, 1891]","1841_diary_10_003","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4p6",""
"Sachtleben (William Lewis) Papers. Collection 1925","ark:/21198/zz002hk4qq","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_004.tif","4","text","[Turkey travel diary: page 4, Apr. 15, 1891]","1841_diary_10_004","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4qq",""
"Sachtleben (William Lewis) Papers. Collection 1926","ark:/21198/zz002hk4r7","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_005.tif","5","text","[Turkey travel diary: page 5, Apr. 15, 1891]","1841_diary_10_005","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4r7",""
"Sachtleben (William Lewis) Papers. Collection 1927","ark:/21198/zz002hk4sr","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_006.tif","6","text","[Turkey travel diary: page 6, Apr. 15, 1891]","1841_diary_10_006","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4sr",""
"Sachtleben (William Lewis) Papers. Collection 1928","ark:/21198/zz002hk4t8","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_007.tif","7","text","[Turkey travel diary: page 7, Apr. 15, 1891]","1841_diary_10_007","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4t8",""
"Sachtleben (William Lewis) Papers. Collection 1929","ark:/21198/zz002hk4vs","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_008.tif","8","text","[Turkey travel diary: page 8, Apr. 16, 1891]","1841_diary_10_008","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4vs",""
"Sachtleben (William Lewis) Papers. Collection 1930","ark:/21198/zz002hk4w9","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_009.tif","9","text","[Turkey travel diary: page 9, Apr. 16, 1891]","1841_diary_10_009","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4w9",""
"Sachtleben (William Lewis) Papers. Collection 1931","ark:/21198/zz002hk4xt","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_010.tif","10","text","[Turkey travel diary: page 10, Apr. 16, 1891]","1841_diary_10_010","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4xt",""
"Sachtleben (William Lewis) Papers. Collection 1932","ark:/21198/zz002hk4zb","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_011.tif","11","text","[Turkey travel diary: page 11, Apr. 16, 1891]","1841_diary_10_011","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk4zb",""
"Sachtleben (William Lewis) Papers. Collection 1933","ark:/21198/zz002hk50b","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_012.tif","12","text","[Turkey travel diary: page 12, Apr. 16, 1891]","1841_diary_10_012","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk50b",""
"Sachtleben (William Lewis) Papers. Collection 1934","ark:/21198/zz002hk51v","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_013.tif","13","text","[Turkey travel diary: page 13, Apr. 16, 1891]","1841_diary_10_013","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk51v",""
"Sachtleben (William Lewis) Papers. Collection 1935","ark:/21198/zz002hk52c","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_014.tif","14","text","[Turkey travel diary: page 14, Apr. 16-17, 1891]","1841_diary_10_014","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk52c",""
"Sachtleben (William Lewis) Papers. Collection 1936","ark:/21198/zz002hk53w","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_015.tif","15","text","[Turkey travel diary: page 15, Apr. 17, 1891]","1841_diary_10_015","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk53w",""
"Sachtleben (William Lewis) Papers. Collection 1937","ark:/21198/zz002hk54d","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_016.tif","16","text","[Turkey travel diary: page 16, Apr. 17, 1891]","1841_diary_10_016","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk54d",""
"Sachtleben (William Lewis) Papers. Collection 1938","ark:/21198/zz002hk55x","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_017.tif","17","text","[Turkey travel diary: page 17, Apr. 17, 1891]","1841_diary_10_017","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk55x",""
"Sachtleben (William Lewis) Papers. Collection 1939","ark:/21198/zz002hk56f","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_018.tif","18","text","[Turkey travel diary: page 18, Apr. 17, 1891]","1841_diary_10_018","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk56f",""
"Sachtleben (William Lewis) Papers. Collection 1940","ark:/21198/zz002hk57z","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_019.tif","19","text","[Turkey travel diary: page 19, Apr. 17-18, 1891]","1841_diary_10_019","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk57z",""
