Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Name.subject,Name.author,Name.creator,Name.recipient,Name.correspondent,Name.repository,AltIdentifier.local,Title,Date.creation,Date.normalized,Format.extent,Description.note,Language.text,Description.abstract
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfs5,ark:/21198/zz0009c6r8,7,Needs Review,Work,,200,,,,,,private,,,,,,,,,,MS200 Legal 03 [IMAGE(S) MISSING],,,,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfzr,ark:/21198/zz0009c6r8,7,Needs Review,Work,,2003,,,,,,private,,,,,,,,,,MS200 Legal 12 [IMAGE(S) MISSING],,,,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg4t,ark:/21198/zz0009c6r8,7,Needs Review,Work,,2004,,,,,,private,,,,,,,,,,MS200 Legal 13 [IMAGE(S) MISSING],,,,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cg9d,ark:/21198/zz0009c6r8,7,Needs Review,Work,,2006,,,,,,private,,,,,,,,,,MS200 Legal 15 [IMAGE(S) MISSING],,,,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cgg0,ark:/21198/zz0009c6r8,7,Needs Review,Work,,2007,,,,,,private,,,,,,,,,,MS200 Legal 16 [IMAGE(S) MISSING],,,,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rxwkw,ark:/21198/zz0009c6r8,7,Needs Review,Work,,2005,,,,,,private,,,,,,,,,,MS200 Legal 14 [IMAGE(S) MISSING],,,,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rxwmd,ark:/21198/zz0009c6r8,7,Needs Review,Work,,2002,,,,,,private,,,,,,,,,,MS200 Legal 05 [IMAGE(S) MISSING],,,,,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz000rxwnx,ark:/21198/zz0009c6r8,7,Needs Review,Work,,2001,,,,,,private,,,,,,,,,,MS200 Legal 04 [IMAGE(S) MISSING],,,,,,
