Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Title,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.recipient,Name.author,Name.correspondent,Relation.isPartOf,Subject,Description.note,AltTitle.descriptive,Description.abstract,Date.creation,Format.extent,Alt ID.local,Date.normalized,Date.digitized,Format.medium,Alt ID.collection,Opac url,Bucketeer State,IIIF Access URL
Rosecrans (William S.) Papers,ark:/21198/zz002h7d3s,ark:/21198/zz002h7cw6,2,Completed,Page,rosecrans/image/21198-zz002h7d3s_2234249_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, February 17. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7d3s
Rosecrans (William S.) Papers,ark:/21198/zz002h7d5t,ark:/21198/zz002h7cw6,2,Completed,Page,rosecrans/image/21198-zz002h7d5t_2234281_master.tif,4,"Abraham Lincoln to William S. Rosecrans, 1863, February 17. Page 4",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7d5t
Rosecrans (William S.) Papers,ark:/21198/zz002h7d6b,ark:/21198/zz002h7cxq,2,Completed,Page,rosecrans/image/21198-zz002h7d6b_2234292_master.tif,5,"Abraham Lincoln to William S. Rosecrans, 1863, March 17. Page 5",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7d6b
Rosecrans (William S.) Papers,ark:/21198/zz002h7d7v,ark:/21198/zz002h7cxq,2,Completed,Page,rosecrans/image/21198-zz002h7d7v_2234287_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1863, March 17. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7d7v
Rosecrans (William S.) Papers,ark:/21198/zz002h7d8c,ark:/21198/zz002h7cxq,2,Completed,Page,rosecrans/image/21198-zz002h7d8c_2234291_master.tif,4,"Abraham Lincoln to William S. Rosecrans, 1863, March 17. Page 4",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7d8c
Rosecrans (William S.) Papers,ark:/21198/zz002h7d9w,ark:/21198/zz002h7cxq,2,Completed,Page,rosecrans/image/21198-zz002h7d9w_2234297_master.tif,6,"Abraham Lincoln to William S. Rosecrans, 1863, March 17. Page 6",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7d9w
Rosecrans (William S.) Papers,ark:/21198/zz002h7dbd,ark:/21198/zz002h7cxq,2,Completed,Page,rosecrans/image/21198-zz002h7dbd_2234286_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, March 17. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dbd
Rosecrans (William S.) Papers,ark:/21198/zz002h7ddf,ark:/21198/zz002h7cxq,2,Completed,Page,rosecrans/image/21198-zz002h7ddf_2234304_master.tif,7,"Abraham Lincoln to William S. Rosecrans, 1863, March 17. Page 7",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7ddf
Rosecrans (William S.) Papers,ark:/21198/zz002h7dfz,ark:/21198/zz002h7cxq,2,Completed,Page,rosecrans/image/21198-zz002h7dfz_2234290_master.tif,3,"Abraham Lincoln to William S. Rosecrans, 1863, March 17. Page 3",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dfz
Rosecrans (William S.) Papers,ark:/21198/zz002h7dgg,ark:/21198/zz002h7d1r,2,Completed,Page,rosecrans/image/21198-zz002h7dgg_2234685_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, March 06. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dgg
Rosecrans (William S.) Papers,ark:/21198/zz002h7djh,ark:/21198/zz002h7d07,2,Completed,Page,rosecrans/image/21198-zz002h7djh_2234677_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, May 28. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7djh
Rosecrans (William S.) Papers,ark:/21198/zz002h7dk1,ark:/21198/zz002h7d07,2,Completed,Page,rosecrans/image/21198-zz002h7dk1_2234682_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1863, May 28. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dk1
Rosecrans (William S.) Papers,ark:/21198/zz002h7ds4,ark:/21198/zz002h7dmj,2,Completed,Page,rosecrans/image/21198-zz002h7ds4_2234693_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, August 10. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7ds4
Rosecrans (William S.) Papers,ark:/21198/zz002h7dtn,ark:/21198/zz002h7dmj,2,Completed,Page,rosecrans/image/21198-zz002h7dtn_2234699_master.tif,3,"Abraham Lincoln to William S. Rosecrans, 1863, August 10. Page 3",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dtn
Rosecrans (William S.) Papers,ark:/21198/zz002h7dv5,ark:/21198/zz002h7dmj,2,Completed,Page,rosecrans/image/21198-zz002h7dv5_2234696_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1863, August 10. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dv5
Rosecrans (William S.) Papers,ark:/21198/zz002h7dwp,ark:/21198/zz002h7dmj,2,Completed,Page,rosecrans/image/21198-zz002h7dwp_2234702_master.tif,4,"Abraham Lincoln to William S. Rosecrans, 1863, August 10. Page 4",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dwp
Rosecrans (William S.) Papers,ark:/21198/zz002h7dzq,ark:/21198/zz002h7cw6,2,Completed,Page,rosecrans/image/21198-zz002h7dzq_2234690_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1863, February 17. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dzq
Rosecrans (William S.) Papers,ark:/21198/zz002h7f17,ark:/21198/zz002h7f0q,2,Completed,Page,rosecrans/image/21198-zz002h7f17_2234707_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, August 31. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7f17
Rosecrans (William S.) Papers,ark:/21198/zz002h7f2r,ark:/21198/zz002h7f0q,2,Completed,Page,rosecrans/image/21198-zz002h7f2r_2234710_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1863, August 31. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7f2r
Rosecrans (William S.) Papers,ark:/21198/zz002h7fff,ark:/21198/zz002h7f9c,2,Completed,Page,rosecrans/image/21198-zz002h7fff_2234716_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1863, September 28. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fff
Rosecrans (William S.) Papers,ark:/21198/zz002h7fgz,ark:/21198/zz002h7f9c,2,Completed,Page,rosecrans/image/21198-zz002h7fgz_2234713_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, September 28. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fgz
Rosecrans (William S.) Papers,ark:/21198/zz002h7fhg,ark:/21198/zz002h7fcd,2,Completed,Page,rosecrans/image/21198-zz002h7fhg_2234719_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, November 14. Page 1",,,,,,,correspondence,pd,,,,,,,,Western Union Telegram,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fhg
Rosecrans (William S.) Papers,ark:/21198/zz002h7fj0,ark:/21198/zz002h7f7b,2,Completed,Page,rosecrans/image/21198-zz002h7fj0_2234734_master.tif,3,"Abraham Lincoln to William S. Rosecrans, 1864, March 04. Page 3",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fj0
Rosecrans (William S.) Papers,ark:/21198/zz002h7fkh,ark:/21198/zz002h7f7b,2,Completed,Page,rosecrans/image/21198-zz002h7fkh_2234737_master.tif,4,"Abraham Lincoln to William S. Rosecrans, 1864, March 04. Page 4",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fkh
Rosecrans (William S.) Papers,ark:/21198/zz002h7fm1,ark:/21198/zz002h7f7b,2,Completed,Page,rosecrans/image/21198-zz002h7fm1_2234731_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1864, March 04. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fm1
Rosecrans (William S.) Papers,ark:/21198/zz002h7fnj,ark:/21198/zz002h7f7b,2,Completed,Page,rosecrans/image/21198-zz002h7fnj_2234728_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, March 04. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fnj
Rosecrans (William S.) Papers,ark:/21198/zz002h7fp2,ark:/21198/zz002h7f59,2,Completed,Page,rosecrans/image/21198-zz002h7fp2_2234741_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, June 10. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fp2
Rosecrans (William S.) Papers,ark:/21198/zz002h7fqk,ark:/21198/zz002h7f59,2,Completed,Page,rosecrans/image/21198-zz002h7fqk_2234751_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1864, June 10. Page 2",,,,,,,,pd,,,,,,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fqk
Rosecrans (William S.) Papers,ark:/21198/zz002h7fr3,ark:/21198/zz002h7f4s,2,Completed,Page,rosecrans/image/21198-zz002h7fr3_2234757_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, September 10. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fr3
Rosecrans (William S.) Papers,ark:/21198/zz002h7fsm,ark:/21198/zz002h7fbw,2,Completed,Page,rosecrans/image/21198-zz002h7fsm_2234766_master.tif,3,"Abraham Lincoln to William S. Rosecrans, 1864, September 26. Page 3",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fsm
Rosecrans (William S.) Papers,ark:/21198/zz002h7ft4,ark:/21198/zz002h7fbw,2,Completed,Page,rosecrans/image/21198-zz002h7ft4_2234771_master.tif,4,"Abraham Lincoln to William S. Rosecrans, 1864, September 26. Page 4",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7ft4
Rosecrans (William S.) Papers,ark:/21198/zz002h7fvn,ark:/21198/zz002h7fbw,2,Completed,Page,rosecrans/image/21198-zz002h7fvn_2234763_master.tif,2,"Abraham Lincoln to William S. Rosecrans, 1864, September 26. Page 2",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fvn
Rosecrans (William S.) Papers,ark:/21198/zz002h7fw5,ark:/21198/zz002h7fbw,2,Completed,Page,rosecrans/image/21198-zz002h7fw5_2234760_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, September 26. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fw5
Rosecrans (William S.) Papers,ark:/21198/zz002h7fz6,ark:/21198/zz002h7cw6,2,Completed,Page,rosecrans/image/21198-zz002h7fz6_2234272_master.tif,3,"Abraham Lincoln to William S. Rosecrans, 1863, February 17. Page 3",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fz6
Rosecrans (William S.) Papers,ark:/21198/zz002h7g06,ark:/21198/zz002h7fdx,2,Completed,Page,rosecrans/image/21198-zz002h7g06_2234774_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, June 07. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g06
Rosecrans (William S.) Papers,ark:/21198/zz002h7g1q,ark:/21198/zz002h7f38,2,Completed,Page,rosecrans/image/21198-zz002h7g1q_2234777_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, June 08. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g1q
Rosecrans (William S.) Papers,ark:/21198/zz002h7g27,ark:/21198/zz002h7f6t,2,Completed,Page,rosecrans/image/21198-zz002h7g27_2234780_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, June 24. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g27
Rosecrans (William S.) Papers,ark:/21198/zz002h7g3r,ark:/21198/zz002h7f8v,2,Completed,Page,rosecrans/image/21198-zz002h7g3r_2234794_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1864, September 13. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g3r
Rosecrans (William S.) Papers,ark:/21198/zz002h7gn1,ark:/21198/zz002h7g8b,2,Completed,Page,rosecrans/image/21198-zz002h7gn1_2234803_master.tif,1,"Abraham Lincoln to William S. Rosecrans,1863, September 22. page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gn1
Rosecrans (William S.) Papers,ark:/21198/zz002h7gpj,ark:/21198/zz002h7gcw,2,Completed,Page,rosecrans/image/21198-zz002h7gpj_2234806_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, September 23. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gpj
Rosecrans (William S.) Papers,ark:/21198/zz002h7gq2,ark:/21198/zz002h7gbc,2,Completed,Page,rosecrans/image/21198-zz002h7gq2_2234816_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, September 24. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gq2
Rosecrans (William S.) Papers,ark:/21198/zz002h7grk,ark:/21198/zz002h7g5s,2,Completed,Page,rosecrans/image/21198-zz002h7grk_2234821_master.tif,1,"Abraham Lincoln to William S. Rosecrans, 1863, October 04. Page 1",,,,,,,,pd,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7grk
