"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Title","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.recipient","Name.author","Name.correspondent","Relation.isPartOf","Subject","Description.note","AltTitle.descriptive","Description.abstract","Date.creation","Format.extent","Alt ID.local","Date.normalized","Date.digitized","Format.medium","Alt ID.collection","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rosecrans (William S.) Papers","ark:/21198/zz002kjbwk","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjbwk_2411655_master.tif","3","Anna Elizabeth (or Eliza) Hegeman","","","","","","","","","","","","","","","","","Collection 663 box 108 folder 2","Wife of General William S. Rosecrans","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjbwk",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjbx3","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjbx3_2411658_master.tif","4","Anna Elizabeth (or Eliza) Hegeman","","","","","","","","","","","","","","","","","Collection 663 box 108 folder 2","Wife of General William S. Rosecrans","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjbx3",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjbzm","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjbzm_2411661_master.tif","5","Daughter of General William S. Rosecrans","","","","","","","","","","","","","","","","","Collection 663 box 108 folder 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjbzm",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc0m","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjc0m_2411664_master.tif","6","Lillie, daughter of General William S. Rosecrans","","","","","","","","","","","","","","","","","Collection 663 box 108 folder 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc0m",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc14","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjc14_2411667_master.tif","7","Man standing between two palm trees","","","","","","","","","","","","","","","","","Collection 663 box 108 folder 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc14",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc2n","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjc2n_2411670_master.tif","8","Rosecrans estate","","","","","","","","","","","","","","","","","Collection 663 box 108 folder 5","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc2n",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc35","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjc35_2411673_master.tif","1","General William S. Rosecrans","","","","","","","","","","","","","","","","","Collection 663 box 108 folder 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc35",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc4p","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjc4p_2411676_master.tif","2","General William S. Rosecrans","","","","","","","still image","","","","","","","","","","Collection 663 box 108 folder 1","","October 1881","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc4p",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc56","ark:/21198/zz002kjbv2","1","In progress","Page","rosecrans/image/21198-zz002kjc56_2411679_master.tif","9","Rosecrans farmhouse","","","","","private","","still image","","","","","","","","","","Collection 663 box 108 folder 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc56",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc6q","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjc6q_2411682_master.tif","10","Rosecrans house","","","","","","","still image","","","","","","","","","","Collection 663 box 108 folder 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc6q",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc77","ark:/21198/zz002kjbv2","10","Completed with minimal metadata","Page","rosecrans/image/21198-zz002kjc77_2411685_master.tif","11","General William S. Rosecrans","","","","","","","still image","","","","","","","","","","Collection 663 box 109 folder 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc77",""
"Rosecrans (William S.) Papers","ark:/21198/zz002kjc8r","ark:/21198/zz002kjbv2","1","In progress","Page","rosecrans/image/21198-zz002kjc8r_2411688_master.tif","12","General William S. Rosecrans","","","","","private","","still image","","","","","","","","","Portrait of General Rosecrans seated in uniform, hat and sword. Later in life.","Collection 663 box 119 folder 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kjc8r",""
