Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.repository,Name.recipient,Author,Name.correspondent,Relation.isPartOf,Subject,Title,Description.note,AltTitle.descriptive,Description.abstract,Date.creation,Format.extent,Alt ID.local,Date.normalized,Date.digitized,Format.medium,Alt ID.collection,Opac url,IIIF Access URL,IIIF Manifest URL
Rosecrans (William S.) Papers,ark:/21198/zz002h7cvp,,2,Completed,Collection,,,,,,,,,text,pd,eng,correspondence,UCLA Perf Arts Spec Coll,,,"Lincoln, Abraham, $d 1809-1865|~|Rosecrans, William S. (William Starke), 1819-1898","William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",Generals $z United States $v Correspondence|~|Presidents $z United States $v Correspondence,Rosecrans (William S.) Papers,,Correspondence between Abraham Lincoln and William S. Rosecrans,William Starke Rosecrans (1819-1898) commanded the Army of the Cumberland during the Tullahoma campaign and at the battles of Stone's river and Chickamauga during the U.S. Civil War. The digital collection consists of correspondence with Abraham Lincoln and related documents.,[between 1861 and 1864],,Collection 663 [Barcode:F0000807420],1861/1864,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2976678,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002h7cvp
Rosecrans (William S.) Papers,ark:/21198/zz002h7cw6,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",Generals $z United States $v Correspondence,"Abraham Lincoln to William S. Rosecrans, 1863, February 17",Handwritten Letter Signed,,,"February 17, 1863",4p.,"203757c|~|Rosecrans Papers, Box 8, Folder 35A",1863-02-17,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7d3s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7cw6/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7cxq,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, March 17",Handwritten Letter Signed,,,"March 17, 1863",8p.,"Rosecrans Papers, Box 8, Folder 45A|~|203837b",1863-03-17,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dbd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7cxq/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7d07,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, May 28",Handwritten Letter Signed,,,"May 28, 1863",2 p.,"204054b|~|Rosecrans Papers, Box 8, Folder 61A",1863-05-28,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7djh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7d07/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7d1r,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, March 06",Autograph Letter Signed,,,"March 06, 1863",1p.,"Rosecrans Papers, Box 8, Folder 40A|~|237543",1863-03-06,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7dgg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7d1r/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7dmj,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, August 10",Autograph Letter Signed,,,"August 10, 1863",4 p.,"204327b|~|Rosecrans Papers, Box 8, Folder 103A",1863-08-10,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7ds4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7dmj/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7f0q,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, August 31",Autograph Letter Signed,,,"August 31, 1863",2 p.,"204419b|~|Rosecrans Papers, Box 8, Folder 113A",1863-08-31,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7f17,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f0q/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7f38,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, June 08",Handwritten Telegram Signed with a Representation,,,"June 08, 1864",1 p.,"205541b|~|Rosecrans Papers, Box 10, Folder 7",1864-06-08,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g1q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f38/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7f4s,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, September 10",Autograph Letter Signed,,,"September 10, 1864",1 p.,"237544|~|Rosecrans Papers, Box 10, Folder 38",1864-09-10,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fr3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f4s/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7f59,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, June 10",Autograph Letter Signed,,,"June 10, 1864",2 p.,"Rosecrans Papers, Box 10, Folder 10|~|205551b",1864-06-10,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fp2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f59/manifest
