Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h70sb,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F2/G5382S_R3_NS_ND_NP.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay,,,,,,,Paraguay,,,,,,,G5382S_R3_NS_ND_NP|~|DR727F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h70tv,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND3.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay,,,,,,,Paraguay,,,,,,,G5382s_R3_NS_NP_ND3|~|DR727F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h70vc,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND4.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay Plano de Cerro Cora,,,,,,,Paraguay,,,,,,,G5382s_R3_NS_NP_ND4|~|DR727F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h70ww,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND5.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay,,,,,,,Paraguay,,,,,,,G5382s_R3_NS_NP_ND5|~|DR727F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h70xd,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND6.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay,,,,,,,,,,,,,,G5382s_R3_NS_NP_ND6|~|DR727F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h70zx,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F2/G5382s_R3_NS_NP_ND8.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay,,,,,,,,,,,,,,G5382s_R3_NS_NP_ND8|~|DR727F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h710x,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F2/G5832s_R3_NS_NP_ND7.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay,,,,,,,Paraguay,,,,,,,G5832s_R3_NS_NP_ND|~|DR727F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h711f,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F3/G5373_100_MOP_1945.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Uruguay Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mapa del Departamento de Canelones,1945,,,,,,Uruguay,,,,,,,G5373_100_MOP_1945|~|DR727F3,,,1945,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h712z,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR727F3/G5374_20_OCB_1941.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,Uruguay Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,City Plan of Montevideo Map No. 4,1941,,,,,,Uruguay,,,,,,,G5374_20_OCB_1941|~|DR727F3,,,1941,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h713g,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5380_1M_DGI_1904.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mapa de la Republica del Paraguay,1904,,,,,,Paraguay,,,,,,,G5380_1M_DGI_1904|~|DR727F4,,,1904,,
