"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.caption","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175gc9","ark:/21198/zz001633g7","2","Completed","Page","wavav/images/masters/21198-zz00175gc9_495346_master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gc9"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175gdt","ark:/21198/zz001633g7","2","Completed","Page","wavav/images/masters/21198-zz00175gdt-1-master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gdt"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175gfb","ark:/21198/zz001633g7","2","Completed","Page","wavav/images/masters/21198-zz00175gfb-1-master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gfb"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175ggv","ark:/21198/zz001633g7","2","Completed","Page","wavav/images/masters/21198-zz00175ggv-1-master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175ggv"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175gvj","ark:/21198/zz00175ghc","2","Completed","Page","wavav/images/masters/21198-zz00175gvj-1-master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gvj"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175gw2","ark:/21198/zz00175ghc","2","Completed","Page","wavav/images/masters/21198-zz00175gw2-1-master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gw2"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175gxk","ark:/21198/zz00175ghc","2","Completed","Page","wavav/images/masters/21198-zz00175gxk-1-master.tif","3","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 3","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gxk"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175gz3","ark:/21198/zz00175ghc","2","Completed","Page","wavav/images/masters/21198-zz00175gz3-1-master.tif","4","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 4","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gz3"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175h03","ark:/21198/zz00175gjw","2","Completed","Page","wavav/images/masters/21198-zz00175h03-1-master.tif","1","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 1","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175h03"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00175h1m","ark:/21198/zz00175gjw","2","Completed","Page","wavav/images/masters/21198-zz00175h1m-1-master.tif","2","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 2","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175h1m"
