Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,Name.illuminator,Name.creator,Title,AltTitle.descriptive,Description.note,Date.creation,Description.abstract,Date.normalized,Description.adminnote,Description.contents,Description.condition,Description.illustrations,Description.colophon,Description.history,Description.binding,Format.medium,Format.extent,Alt ID.local,Format.dimensions,AltTitle.uniform,Coverage.geographic,Publisher.placeOfOrigin,Description
Armenian Manuscripts,ark:/21198/zz0009h1jj,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 12],Canon Tables Three and Four.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1k2,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 13],Canon Table Five.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1mk,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 14],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1n3,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 15],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1pm,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 16],Canon Tables Six and Seven.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1q4,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 17],Canon Tables Eight and Nine.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1rn,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 18],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1s5,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 19],,This page is blank.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1tp,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 20],Canon Table Ten.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1v6,ark:/21198/zz0009gx6g,2,Completed,ChildWork,First Painter,,[Gladzor Gospels: page 21],Canon Table Ten.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1wq,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 22],Preface to the Gospel of Matthew.,"Seventeenth century addition (See Sanjian, p. 48.)",,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1x7,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 23],"Index to the Gospel of Matthew, with concordances; not completed.","Seventeenth century addition (See Sanjian, p. 48.)",,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h1zr,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 24a],Inscription of Baroness Vaxax.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h20r,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 25],Inscriptions.,,,"Two inscriptions, dated 1824, of the owner Yōvakim Abraham, and another inscription dated 1901. (See Sanjian, p. 52 and 59.)",,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h218,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 26],Portrait of the Evangelist Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h22s,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 27],Incipit to the Gospel of Matthew.,The initial of the opening line is formed by an angel holding a book.,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h239,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 28],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h24t,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 29],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h25b,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 30],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h26v,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 31],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h27c,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 32],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h28w,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 33],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h29d,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 34],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
