Project Name,Item ARK,Parent ARK,Visibility,IIIF Range,viewingHint,Text direction,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq3vn,ark:/21198/zz000wrmkf,,,paged,,10,Completed with minimal metadata,Work,,10,,,pd,Shīʿah $x Customs and practices,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections",,,,,,,,,Arabic,Naskh,,0009,Majmūʿah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 9",,24.5 x 16 cm.,rtl,,,,"Āghā Buzurg al-Ṭihrānī, Dharīʿah ilā taṣānif al-Shīʿah (Al-Najaf: Maṭbaʿat al-Gharrā, 1936-1986), v. 22 (6841), p. 232-3.",مجموعة,,,DP (367) lists as a single work.|~|Lisa McAulay changed the item status of this item so that it could be made available online through the generic UCLA interface,604 p.,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq41q,ark:/21198/zz000wrmkf,,,paged,,10,Completed with minimal metadata,Work,,13,,,pd,"Hadith (Shiites) $v Texts $v Early works to 1800|~|ʿAlī ibn Abī Ṭālib, $c Caliph, $d 600 (ca.)-661 $x Hadith",manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections","ʿAlī ibn Abī Ṭālib, $c Caliph, $d 600 (ca.)-661",,,,Muḥammad Mahdī al-Nūrī,,"Ṭabarsī, al-Faḍl ibn al-Ḥasan, $d d. 1153",,Persian|~|Persian|~|Arabic,Shikastah|~|Muḥaqqiq|~|Thulth,,0012,Nathr al-laʾālī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 12",1279 [1862 or 1863],21.5 x 15 cm.,rtl,,"An alphabetical compilation of the sayings of ʿAlī ibn Abī Ṭālib, the first Shīʿī Imām, assembled by al-Ṭabarsī. Includes an incomplete Persian translation underneath the Arabic verses. Written in exquisite Arabic and Persian calligraphy.",,"Āghā Buzurg al-Ṭihrānī, Dharīʿah ilā taṣānif al-Shīʿah (Al-Najaf: Maṭbaʿat al-Gharrā, 1936-1986), v. 4 (262), p. 53-4.|~|Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 375.",نثر اللئالي,,,Needs review. Lisa McAulay changed the status from Needs Review in order to release to the items to regular digital 2. And all children,52 p.,,,375,,,
