Project Name,Item ARK,Parent ARK,Visibility,IIIF Range,viewingHint,Text direction,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000wrmkf,,,,,,2,Completed,Collection,,,,,pd,,,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,,,,,C1147,Minasian (Caro) Collection of Persian and Arabic Manuscripts,,"Caro Minasian Collection of Persian and Arabic Manuscripts, collection_1147",,,,,"The Minasian Collection of Arabic and Persian manuscripts is one of the most extensive post-classical Islamic manuscript collections in the United States. The collection primarily consists of works related to the studies of theologians and scholars at centers of learning in Iran during the 17th and 18th centuries, and is especially notable for works of Shiite theology, Arabic and Persian language and literature, and Islamic science and philosophy. The digital collection includes over 320 manuscripts (almost 100,000 pages).",,,,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr04s,ark:/21198/zz000wrmkf,,,paged,right-to-left,7,Completed,Work,,,,,pd,,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections",,,,,"Muhammad Riḍā Sabzawārī, Faḍl Allāh Sabzawārī",,,,,,,30,Majmūʿah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",n.d.,,rtl,,Bought in 1223 A.H. and owned by Maysī.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 657.",مجموعة,,,"Arabic pagination slightly off: after page 169, reverts to 150.",,,,,,,,,
