"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Name.author","Name.attributedTo","Name.translator","Name.commentator","Name.scribe","Name.creator","Name.compiler","Name.annotator","Language.language","Language.script","Name.calligrapher","Alternate Identifier.local","Title","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Relation.textDirection","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09ps","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0001.tif","1","","","pd","","","","","","","","","","","","","","","1147_0399_0001","page 1","r","","","","","","","","","","","","","","","","","","","","1147_0399_0001.jpg","1147_0399_0001.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09q9","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0002.tif","2","","","pd","","","","","","","","","","","","","","","1147_0399_0002","page 2","v","","","","","","","","","","","","","","","","","","","","1147_0399_0002.jpg","1147_0399_0002.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09rt","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0003.tif","3","","","pd","","","","","","","","","","","","","","","1147_0399_0003","page 3","r","","","","","","","","","","","","","","","","","","","","1147_0399_0003.jpg","1147_0399_0003.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09sb","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0004.tif","4","","","pd","","","","","","","","","","","","","","","1147_0399_0004","page 4","v","","","","","","","","","","","","","","","","","","","","1147_0399_0004.jpg","1147_0399_0004.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09tv","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0005.tif","5","","","pd","","","","","","","","","","","","","","","1147_0399_0005","page 5","r","","","","","","","","","","","","","","","","","","","","1147_0399_0005.jpg","1147_0399_0005.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09vc","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0006.tif","6","","","pd","","","","","","","","","","","","","","","1147_0399_0006","page 6","v","","","","","","","","","","","","","","","","","","","","1147_0399_0006.jpg","1147_0399_0006.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09ww","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0007.tif","7","","","pd","","","","","","","","","","","","","","","1147_0399_0007","page 7","r","","","","","","","","","","","","","","","","","","","","1147_0399_0007.jpg","1147_0399_0007.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09xd","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0008.tif","8","","","pd","","","","","","","","","","","","","","","1147_0399_0008","page 8","v","","","","","","","","","","","","","","","","","","","","1147_0399_0008.jpg","1147_0399_0008.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w09zx","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0009.tif","9","","","pd","","","","","","","","","","","","","","","1147_0399_0009","page 9","r","","","","","","","","","","","","","","","","","","","","1147_0399_0009.jpg","1147_0399_0009.tif","failed",
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz000w0b0x","ark:/21198/zz000srk40","7","Needs Review","Page","Minasian/masters/1147_0399_0010.tif","10","","","pd","","","","","","","","","","","","","","","1147_0399_0010","page 10","v","","","","","","","","","","","","","","","","","","","","1147_0399_0010.jpg","1147_0399_0010.tif","failed",
