Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swh4t,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0001.tif,1,,,pd,,,,,,,,,,,,,,,0012/0012_0001,cover page,r,,,,,,,,,,,,,,,,,,,,0012/0012_0001.jpg,0012/0012_0001.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swh4t
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swh5b,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0002.tif,2,,,pd,,,,,,,,,,,,,,,0012/0012_0002,page 1,r,,,,,,,,,,,,,,,,,,,,0012/0012_0002.jpg,0012/0012_0002.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swh5b
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swh6v,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0003.tif,3,,,pd,,,,,,,,,,,,,,,0012/0012_0003,page 2,v,,,,,,,,,,,,,,,,,,,,0012/0012_0003.jpg,0012/0012_0003.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swh6v
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swh7c,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0004.tif,4,,,pd,,,,,,,,,,,,,,,0012/0012_0004,page 3,r,,,,,,,,,,,,,,,,,,,,0012/0012_0004.jpg,0012/0012_0004.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swh7c
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swh8w,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0005.tif,5,,,pd,,,,,,,,,,,,,,,0012/0012_0005,page 4,v,,,,,,,,,,,,,,,,,,,,0012/0012_0005.jpg,0012/0012_0005.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swh8w
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swh9d,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0006.tif,6,,,pd,,,,,,,,,,,,,,,0012/0012_0006,page 5,r,,,,,,,,,,,,,,,,,,,,0012/0012_0006.jpg,0012/0012_0006.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swh9d
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhbx,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0007.tif,7,,,pd,,,,,,,,,,,,,,,0012/0012_0007,page 6,v,,,,,,,,,,,,,,,,,,,,0012/0012_0007.jpg,0012/0012_0007.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhbx
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhcf,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0008.tif,8,,,pd,,,,,,,,,,,,,,,0012/0012_0008,page 7,r,,,,,,,,,,,,,,,,,,,,0012/0012_0008.jpg,0012/0012_0008.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhcf
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhdz,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0009.tif,9,,,pd,,,,,,,,,,,,,,,0012/0012_0009,page 8,v,,,,,,,,,,,,,,,,,,,,0012/0012_0009.jpg,0012/0012_0009.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhdz
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhfg,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0010.tif,10,,,pd,,,,,,,,,,,,,,,0012/0012_0010,page 9,r,,,,,,,,,,,,,,,,,,,,0012/0012_0010.jpg,0012/0012_0010.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhfg
