Project Name,Item ARK,Parent ARK,Visibility,IIIF Range,viewingHint,Text direction,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000wrmkf,,,,,,2,Completed,Collection,,,,,pd,,,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,,,,,C1147,Minasian (Caro) Collection of Persian and Arabic Manuscripts,,"Caro Minasian Collection of Persian and Arabic Manuscripts, collection_1147",,,,,"The Minasian Collection of Arabic and Persian manuscripts is one of the most extensive post-classical Islamic manuscript collections in the United States. The collection primarily consists of works related to the studies of theologians and scholars at centers of learning in Iran during the 17th and 18th centuries, and is especially notable for works of Shiite theology, Arabic and Persian language and literature, and Islamic science and philosophy. The digital collection includes over 320 manuscripts (almost 100,000 pages).",,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq1g0,ark:/21198/zz000wrmkf,,,paged,right-to-left,10,Completed,Work,,36,,,pd,,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections",,,,,,,,,,,,35,Majmūʿah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 35",n.d.,21 x 16 cm.,rtl,,,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 359.",مجموعة,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000ss1kf,ark:/21198/zz000wrmkf,,,paged,right-to-left,2,Completed,Work,,601,,,pd,Persian poetry,manuscripts (document genre),"University of California, Los Angeles. $b Library Special Collections","Ṭuʿmah, Bisḥāq",,,,,,,,Persian,Nastaʿlīq,,600,Dīvān-i Bisḥaq Ṭuʿmah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 80, 600",n.d.,15.6 x 8.5,rtl,,,4708,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1039 AH), p. 39.",ديوان بسحق طعمه,,,,,,,,,,
