"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Access URL","IIIF Range","Title","Bucketeer State","IIIF Manifest URL"
"Thumoth","ark:/21198/zz0009s5p4","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5p4-1-master.tif","11","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5p4","","page 11","succeeded",""
"Thumoth","ark:/21198/zz0009s5qn","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5qn-1-master.tif","12","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5qn","","page 12","succeeded",""
"Thumoth","ark:/21198/zz0009s5r5","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5r5-1-master.tif","13","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5r5","","page 13","succeeded",""
"Thumoth","ark:/21198/zz0009s5sp","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5sp-1-master.tif","14","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5sp","","page 14","succeeded",""
"Thumoth","ark:/21198/zz0009s5t6","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5t6-1-master.tif","15","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5t6","","page 15","succeeded",""
"Thumoth","ark:/21198/zz0009s5vq","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5vq-1-master.tif","16","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5vq","","page 16","succeeded",""
"Thumoth","ark:/21198/zz0009s5w7","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5w7-1-master.tif","17","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5w7","","page 17","succeeded",""
"Thumoth","ark:/21198/zz0009s5xr","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5xr-1-master.tif","18","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5xr","","page 18","succeeded",""
"Thumoth","ark:/21198/zz0009s5z8","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s5z8-1-master.tif","19","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5z8","","page 19","succeeded",""
"Thumoth","ark:/21198/zz0009s608","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s608-1-master.tif","20","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s608","","page 20","succeeded",""
"Thumoth","ark:/21198/zz0009s61s","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s61s-1-master.tif","21","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s61s","","page 21","succeeded",""
"Thumoth","ark:/21198/zz0009s629","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s629-1-master.tif","22","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s629","","page 22","succeeded",""
"Thumoth","ark:/21198/zz0009s63t","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s63t-1-master.tif","23","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s63t","","page 23","succeeded",""
"Thumoth","ark:/21198/zz0009s64b","ark:/21198/zz0009rjt2","2","Completed","Page","thumoth/masters/21198-zz0009s64b-1-master.tif","24","","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s64b","","page 24","succeeded",""
