Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Access URL,IIIF Range,Title,OPAC URL,Date.creation,Alt ID.local,Name.repository,IIIF Manifest URL
Thumoth,ark:/21198/zz002kf45g,,2,Completed,Collection,,,,,,,,,,Early Printed Books,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002kf45g
Thumoth,ark:/21198/zz0009rjt2,ark:/21198/zz002kf45g,2,Completed,Work,,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009s5bz,,"Twelve Scotch, and twelve Irish airs, with variations, set for the German flute, violin or harpsichord, by Mr. Burk Thumoth.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3181254,1748,M241 .T42t,UCLA Perf Arts Spec Coll,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009rjt2/manifest
