"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Rights.permission","Name.contributor","Name.repository","Subject","Title","Alt ID.local","Date.normalized","Date.creation","Format.extent","Publisher.publisherName","Publisher.placeOfOrigin","Format.dimensions","Description.note","Opac url","Alt ID.oclc","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmfr","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_001.tif","1","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_001","stanford_oclc38813558_v2_001","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmfr",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmg8","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_002.tif","2","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_002","stanford_oclc38813558_v2_002","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmg8",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmhs","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_003.tif","3","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_003","stanford_oclc38813558_v2_003","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmhs",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmj9","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_004.tif","4","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_004","stanford_oclc38813558_v2_004","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmj9",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmkt","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_005.tif","5","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_005","stanford_oclc38813558_v2_005","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmkt",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmmb","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_006.tif","6","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_006","stanford_oclc38813558_v2_006","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmmb",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmnv","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_007.tif","7","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_007","stanford_oclc38813558_v2_007","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmnv",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmpc","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_008.tif","8","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_008","stanford_oclc38813558_v2_008","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmpc",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmqw","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_009.tif","9","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_009","stanford_oclc38813558_v2_009","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmqw",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmrd","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_010.tif","10","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_010","stanford_oclc38813558_v2_010","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmrd",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmsx","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_011.tif","11","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_011","stanford_oclc38813558_v2_011","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmsx",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmtf","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_012.tif","12","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_012","stanford_oclc38813558_v2_012","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmtf",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmvz","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_013.tif","13","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_013","stanford_oclc38813558_v2_013","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmvz",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmwg","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_014.tif","14","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_014","stanford_oclc38813558_v2_014","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmwg",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmx0","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_015.tif","15","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_015","stanford_oclc38813558_v2_015","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmx0",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkmzh","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_016.tif","16","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_016","stanford_oclc38813558_v2_016","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkmzh",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn0h","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_017.tif","17","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_017","stanford_oclc38813558_v2_017","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn0h",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn11","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_018.tif","18","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_018","stanford_oclc38813558_v2_018","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn11",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn2j","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_019.tif","19","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_019","stanford_oclc38813558_v2_019","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn2j",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn32","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_020.tif","20","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_020","stanford_oclc38813558_v2_020","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn32",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn4k","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_021.tif","21","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_021","stanford_oclc38813558_v2_021","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn4k",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn53","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_022.tif","22","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_022","stanford_oclc38813558_v2_022","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn53",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn6m","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_023.tif","23","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_023","stanford_oclc38813558_v2_023","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn6m",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn74","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_024.tif","24","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_024","stanford_oclc38813558_v2_024","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn74",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn8n","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_025.tif","25","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_025","stanford_oclc38813558_v2_025","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn8n",""
"Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","ark:/21198/zz002jkn95","ark:/21198/zz002jkct2","10","Completed with minimal metadata","Page","bishopofJohannesburg/BOJ_V2/stanford_oclc38813558_v2_026.tif","26","","","","","","","text","copyrighted","published","","Y","","Submissions Presented to the Commission on Behalf of the Bishop of Johannesburg","","v2_026","stanford_oclc38813558_v2_026","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jkn95",""
